timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1702857600000,2023-12-18T00:00:00Z,288-1-1-009,0.2,
1702857660000,2023-12-18T00:01:00Z,288-1-1-009,0.21,
1702857720000,2023-12-18T00:02:00Z,288-1-1-009,0.22,
1702857780000,2023-12-18T00:03:00Z,288-1-1-009,0.2,
1702857840000,2023-12-18T00:04:00Z,288-1-1-009,0.21,
1702857900000,2023-12-18T00:05:00Z,288-1-1-009,0.21,
1702857960000,2023-12-18T00:06:00Z,288-1-1-009,0.2,
1702858020000,2023-12-18T00:07:00Z,288-1-1-009,0.2,
1702858080000,2023-12-18T00:08:00Z,288-1-1-009,0.2,
1702858140000,2023-12-18T00:09:00Z,288-1-1-009,0.2,
1702858200000,2023-12-18T00:10:00Z,288-1-1-009,0.2,
1702858260000,2023-12-18T00:11:00Z,288-1-1-009,0.19,
1702858320000,2023-12-18T00:12:00Z,288-1-1-009,0.2,
1702858380000,2023-12-18T00:13:00Z,288-1-1-009,0.19,
1702858440000,2023-12-18T00:14:00Z,288-1-1-009,0.19,
1702858500000,2023-12-18T00:15:00Z,288-1-1-009,0.19,
1702858560000,2023-12-18T00:16:00Z,288-1-1-009,0.2,
1702858620000,2023-12-18T00:17:00Z,288-1-1-009,0.21,
1702858680000,2023-12-18T00:18:00Z,288-1-1-009,0.2,
1702858740000,2023-12-18T00:19:00Z,288-1-1-009,0.2,
1702858800000,2023-12-18T00:20:00Z,288-1-1-009,0.2,
1702858860000,2023-12-18T00:21:00Z,288-1-1-009,0.2,
1702858920000,2023-12-18T00:22:00Z,288-1-1-009,0.2,
1702858980000,2023-12-18T00:23:00Z,288-1-1-009,0.2,
1702859040000,2023-12-18T00:24:00Z,288-1-1-009,0.2,
1702859100000,2023-12-18T00:25:00Z,288-1-1-009,0.21,
1702859160000,2023-12-18T00:26:00Z,288-1-1-009,0.21,
1702859220000,2023-12-18T00:27:00Z,288-1-1-009,0.21,
1702859280000,2023-12-18T00:28:00Z,288-1-1-009,0.21,
1702859340000,2023-12-18T00:29:00Z,288-1-1-009,0.21,
1702859400000,2023-12-18T00:30:00Z,288-1-1-009,0.21,
1702859460000,2023-12-18T00:31:00Z,288-1-1-009,0.21,
1702859520000,2023-12-18T00:32:00Z,288-1-1-009,0.21,
1702859580000,2023-12-18T00:33:00Z,288-1-1-009,0.21,
1702859640000,2023-12-18T00:34:00Z,288-1-1-009,0.21,
1702859700000,2023-12-18T00:35:00Z,288-1-1-009,0.2,
1702859760000,2023-12-18T00:36:00Z,288-1-1-009,0.15,
1702859820000,2023-12-18T00:37:00Z,288-1-1-009,0.15,
1702859880000,2023-12-18T00:38:00Z,288-1-1-009,0.15,
1702859940000,2023-12-18T00:39:00Z,288-1-1-009,0.15,
1702860000000,2023-12-18T00:40:00Z,288-1-1-009,0.15,
1702860060000,2023-12-18T00:41:00Z,288-1-1-009,0.15,
1702860120000,2023-12-18T00:42:00Z,288-1-1-009,0.15,
1702860180000,2023-12-18T00:43:00Z,288-1-1-009,0.15,
1702860240000,2023-12-18T00:44:00Z,288-1-1-009,0.16,
1702860300000,2023-12-18T00:45:00Z,288-1-1-009,0.15,
1702860360000,2023-12-18T00:46:00Z,288-1-1-009,0.16,
1702860420000,2023-12-18T00:47:00Z,288-1-1-009,0.16,
1702860480000,2023-12-18T00:48:00Z,288-1-1-009,0.16,
1702860540000,2023-12-18T00:49:00Z,288-1-1-009,0.16,
1702860600000,2023-12-18T00:50:00Z,288-1-1-009,0.16,
1702860660000,2023-12-18T00:51:00Z,288-1-1-009,0.16,
1702860720000,2023-12-18T00:52:00Z,288-1-1-009,0.16,
1702860780000,2023-12-18T00:53:00Z,288-1-1-009,0.16,
1702860840000,2023-12-18T00:54:00Z,288-1-1-009,0.16,
1702860900000,2023-12-18T00:55:00Z,288-1-1-009,0.16,
1702860960000,2023-12-18T00:56:00Z,288-1-1-009,0.16,
1702861020000,2023-12-18T00:57:00Z,288-1-1-009,0.16,
1702861080000,2023-12-18T00:58:00Z,288-1-1-009,0.16,
1702861140000,2023-12-18T00:59:00Z,288-1-1-009,0.16,
1702861200000,2023-12-18T01:00:00Z,288-1-1-009,0.16,
1702861260000,2023-12-18T01:01:00Z,288-1-1-009,0.16,
1702861320000,2023-12-18T01:02:00Z,288-1-1-009,0.16,
1702861380000,2023-12-18T01:03:00Z,288-1-1-009,0.16,
