timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1715644800000,2024-05-14T00:00:00Z,288-1-1-0,0.029,
1715644860000,2024-05-14T00:01:00Z,288-1-1-0,0.038,
1715644920000,2024-05-14T00:02:00Z,288-1-1-0,0.041,
1715644980000,2024-05-14T00:03:00Z,288-1-1-0,0.039,
1715645040000,2024-05-14T00:04:00Z,288-1-1-0,0.021,
1715645100000,2024-05-14T00:05:00Z,288-1-1-0,0.029,
1715645160000,2024-05-14T00:06:00Z,288-1-1-0,0.012,
1715645220000,2024-05-14T00:07:00Z,288-1-1-0,0.009,
1715645280000,2024-05-14T00:08:00Z,288-1-1-0,0.02,
1715645340000,2024-05-14T00:09:00Z,288-1-1-0,0.009,
1715645400000,2024-05-14T00:10:00Z,288-1-1-0,0.007,
1715645460000,2024-05-14T00:11:00Z,288-1-1-0,0.025,
1715645520000,2024-05-14T00:12:00Z,288-1-1-0,0.008,
1715645580000,2024-05-14T00:13:00Z,288-1-1-0,0.019,
1715645640000,2024-05-14T00:14:00Z,288-1-1-0,0.046,
1715645700000,2024-05-14T00:15:00Z,288-1-1-0,0.02,
1715645760000,2024-05-14T00:16:00Z,288-1-1-0,0.029,
1715645820000,2024-05-14T00:17:00Z,288-1-1-0,0.04,
1715645880000,2024-05-14T00:18:00Z,288-1-1-0,0.022,
1715645940000,2024-05-14T00:19:00Z,288-1-1-0,0.035,
1715646000000,2024-05-14T00:20:00Z,288-1-1-0,0.041,
1715646060000,2024-05-14T00:21:00Z,288-1-1-0,0.028,
1715646120000,2024-05-14T00:22:00Z,288-1-1-0,0.005,
1715646180000,2024-05-14T00:23:00Z,288-1-1-0,0.019,
1715646240000,2024-05-14T00:24:00Z,288-1-1-0,0.007,
1715646300000,2024-05-14T00:25:00Z,288-1-1-0,0.028,
1715646360000,2024-05-14T00:26:00Z,288-1-1-0,0.04,
1715646420000,2024-05-14T00:27:00Z,288-1-1-0,0.02,
1715646480000,2024-05-14T00:28:00Z,288-1-1-0,0.038,
1715646540000,2024-05-14T00:29:00Z,288-1-1-0,0.024,
1715646600000,2024-05-14T00:30:00Z,288-1-1-0,0.059,
1715646660000,2024-05-14T00:31:00Z,288-1-1-0,0.063,
1715646720000,2024-05-14T00:32:00Z,288-1-1-0,0.034,
1715646780000,2024-05-14T00:33:00Z,288-1-1-0,0.035,
1715646840000,2024-05-14T00:34:00Z,288-1-1-0,0.042,
1715646900000,2024-05-14T00:35:00Z,288-1-1-0,0.022,
1715646960000,2024-05-14T00:36:00Z,288-1-1-0,0.014,
1715647020000,2024-05-14T00:37:00Z,288-1-1-0,0.063,
1715647080000,2024-05-14T00:38:00Z,288-1-1-0,0.015,
1715647140000,2024-05-14T00:39:00Z,288-1-1-0,0.034,
1715647200000,2024-05-14T00:40:00Z,288-1-1-0,0.007,
1715647260000,2024-05-14T00:41:00Z,288-1-1-0,0.014,
1715647320000,2024-05-14T00:42:00Z,288-1-1-0,0.021,
1715647380000,2024-05-14T00:43:00Z,288-1-1-0,0.04,
1715647440000,2024-05-14T00:44:00Z,288-1-1-0,0.015,
1715647500000,2024-05-14T00:45:00Z,288-1-1-0,0.016,
1715647560000,2024-05-14T00:46:00Z,288-1-1-0,0.022,
1715647620000,2024-05-14T00:47:00Z,288-1-1-0,0.037,
1715647680000,2024-05-14T00:48:00Z,288-1-1-0,0.014,
1715647740000,2024-05-14T00:49:00Z,288-1-1-0,0.023,
1715647800000,2024-05-14T00:50:00Z,288-1-1-0,0.025,
1715647860000,2024-05-14T00:51:00Z,288-1-1-0,0.021,
1715647920000,2024-05-14T00:52:00Z,288-1-1-0,0.012,
1715647980000,2024-05-14T00:53:00Z,288-1-1-0,0.02,
1715648040000,2024-05-14T00:54:00Z,288-1-1-0,0.015,
1715648100000,2024-05-14T00:55:00Z,288-1-1-0,0.014,
1715648160000,2024-05-14T00:56:00Z,288-1-1-0,0.015,
1715648220000,2024-05-14T00:57:00Z,288-1-1-0,0.014,
1715648280000,2024-05-14T00:58:00Z,288-1-1-0,0.013,
1715648340000,2024-05-14T00:59:00Z,288-1-1-0,0.02,
1715648400000,2024-05-14T01:00:00Z,288-1-1-0,0.006,
1715648460000,2024-05-14T01:01:00Z,288-1-1-0,0.019,
1715648520000,2024-05-14T01:02:00Z,288-1-1-0,0.02,
1715648580000,2024-05-14T01:03:00Z,288-1-1-0,0.023,
1715648640000,2024-05-14T01:04:00Z,288-1-1-0,0.045,
1715648700000,2024-05-14T01:05:00Z,288-1-1-0,0.025,
1715648760000,2024-05-14T01:06:00Z,288-1-1-0,0.025,
1715648820000,2024-05-14T01:07:00Z,288-1-1-0,0.021,
1715648880000,2024-05-14T01:08:00Z,288-1-1-0,0.017,
1715648940000,2024-05-14T01:09:00Z,288-1-1-0,0.017,
1715649000000,2024-05-14T01:10:00Z,288-1-1-0,0.045,
1715649060000,2024-05-14T01:11:00Z,288-1-1-0,0.023,
1715649120000,2024-05-14T01:12:00Z,288-1-1-0,0.035,
1715649180000,2024-05-14T01:13:00Z,288-1-1-0,0.03,
1715649240000,2024-05-14T01:14:00Z,288-1-1-0,0.014,
1715649300000,2024-05-14T01:15:00Z,288-1-1-0,0.032,
1715649360000,2024-05-14T01:16:00Z,288-1-1-0,0.019,
1715649420000,2024-05-14T01:17:00Z,288-1-1-0,0.032,
1715649480000,2024-05-14T01:18:00Z,288-1-1-0,0.012,
1715649540000,2024-05-14T01:19:00Z,288-1-1-0,0.012,
1715649600000,2024-05-14T01:20:00Z,288-1-1-0,0.021,
1715649660000,2024-05-14T01:21:00Z,288-1-1-0,0.018,
1715649720000,2024-05-14T01:22:00Z,288-1-1-0,0.012,
1715649780000,2024-05-14T01:23:00Z,288-1-1-0,0.004,
1715649840000,2024-05-14T01:24:00Z,288-1-1-0,0.016,
1715649900000,2024-05-14T01:25:00Z,288-1-1-0,0.017,
1715649960000,2024-05-14T01:26:00Z,288-1-1-0,0.036,
1715650020000,2024-05-14T01:27:00Z,288-1-1-0,0.024,
1715650080000,2024-05-14T01:28:00Z,288-1-1-0,0.036,
1715650140000,2024-05-14T01:29:00Z,288-1-1-0,0.017,
1715650200000,2024-05-14T01:30:00Z,288-1-1-0,0.025,
1715650260000,2024-05-14T01:31:00Z,288-1-1-0,0.029,
1715650320000,2024-05-14T01:32:00Z,288-1-1-0,0.218,
1715650380000,2024-05-14T01:33:00Z,288-1-1-0,0.07,
1715650440000,2024-05-14T01:34:00Z,288-1-1-0,0.111,
1715650500000,2024-05-14T01:35:00Z,288-1-1-0,0.147,
1715650560000,2024-05-14T01:36:00Z,288-1-1-0,0.141,
1715650620000,2024-05-14T01:37:00Z,288-1-1-0,0.128,
1715650680000,2024-05-14T01:38:00Z,288-1-1-0,0.044,
1715650740000,2024-05-14T01:39:00Z,288-1-1-0,0.021,
1715650800000,2024-05-14T01:40:00Z,288-1-1-0,0.028,
1715650860000,2024-05-14T01:41:00Z,288-1-1-0,0.045,
1715650920000,2024-05-14T01:42:00Z,288-1-1-0,0.033,
1715650980000,2024-05-14T01:43:00Z,288-1-1-0,0.016,
1715651040000,2024-05-14T01:44:00Z,288-1-1-0,0.014,
1715651100000,2024-05-14T01:45:00Z,288-1-1-0,0.031,
1715651160000,2024-05-14T01:46:00Z,288-1-1-0,0.031,
1715651220000,2024-05-14T01:47:00Z,288-1-1-0,0.014,
1715651280000,2024-05-14T01:48:00Z,288-1-1-0,0.01,
1715651340000,2024-05-14T01:49:00Z,288-1-1-0,0.035,
1715651400000,2024-05-14T01:50:00Z,288-1-1-0,0.014,
