timestamp_unix,timestamp_iso,participant_full_id,prv_rmssd_ms,missing_value_reason
1703894400000,2023-12-30T00:00:00Z,288-1-1-111,,worn_during_motion
1703894460000,2023-12-30T00:01:00Z,288-1-1-111,,worn_during_motion
1703894520000,2023-12-30T00:02:00Z,288-1-1-111,,worn_during_motion
1703894580000,2023-12-30T00:03:00Z,288-1-1-111,,worn_during_motion
1703894640000,2023-12-30T00:04:00Z,288-1-1-111,,worn_during_motion
1703894700000,2023-12-30T00:05:00Z,288-1-1-111,,worn_during_motion
1703894760000,2023-12-30T00:06:00Z,288-1-1-111,,worn_during_motion
1703894820000,2023-12-30T00:07:00Z,288-1-1-111,,worn_during_motion
1703894880000,2023-12-30T00:08:00Z,288-1-1-111,,worn_during_motion
1703894940000,2023-12-30T00:09:00Z,288-1-1-111,,worn_during_motion
1703895000000,2023-12-30T00:10:00Z,288-1-1-111,,worn_during_motion
1703895060000,2023-12-30T00:11:00Z,288-1-1-111,,worn_during_motion
1703895120000,2023-12-30T00:12:00Z,288-1-1-111,,worn_during_motion
1703895180000,2023-12-30T00:13:00Z,288-1-1-111,,worn_during_motion
1703895240000,2023-12-30T00:14:00Z,288-1-1-111,,worn_during_motion
1703895300000,2023-12-30T00:15:00Z,288-1-1-111,,worn_during_motion
1703895360000,2023-12-30T00:16:00Z,288-1-1-111,,worn_during_motion
1703895420000,2023-12-30T00:17:00Z,288-1-1-111,,worn_during_motion
1703895480000,2023-12-30T00:18:00Z,288-1-1-111,,worn_during_motion
1703895540000,2023-12-30T00:19:00Z,288-1-1-111,,worn_during_motion
1703895600000,2023-12-30T00:20:00Z,288-1-1-111,,worn_during_motion
1703895660000,2023-12-30T00:21:00Z,288-1-1-111,,worn_during_motion
1703895720000,2023-12-30T00:22:00Z,288-1-1-111,,worn_during_motion
1703895780000,2023-12-30T00:23:00Z,288-1-1-111,,worn_during_motion
1703895840000,2023-12-30T00:24:00Z,288-1-1-111,,worn_during_motion
1703895900000,2023-12-30T00:25:00Z,288-1-1-111,,worn_during_motion
1703895960000,2023-12-30T00:26:00Z,288-1-1-111,,worn_during_motion
1703896020000,2023-12-30T00:27:00Z,288-1-1-111,,worn_during_motion
1703896080000,2023-12-30T00:28:00Z,288-1-1-111,,worn_during_motion
1703896140000,2023-12-30T00:29:00Z,288-1-1-111,,worn_during_motion
1703896200000,2023-12-30T00:30:00Z,288-1-1-111,,worn_during_motion
1703896260000,2023-12-30T00:31:00Z,288-1-1-111,,worn_during_motion
1703896320000,2023-12-30T00:32:00Z,288-1-1-111,,worn_during_motion
1703896380000,2023-12-30T00:33:00Z,288-1-1-111,,worn_during_motion
1703896440000,2023-12-30T00:34:00Z,288-1-1-111,,worn_during_motion
1703896500000,2023-12-30T00:35:00Z,288-1-1-111,,worn_during_motion
1703896560000,2023-12-30T00:36:00Z,288-1-1-111,,worn_during_motion
1703896620000,2023-12-30T00:37:00Z,288-1-1-111,,worn_during_motion
1703896680000,2023-12-30T00:38:00Z,288-1-1-111,,worn_during_motion
1703896740000,2023-12-30T00:39:00Z,288-1-1-111,,worn_during_motion
1703896800000,2023-12-30T00:40:00Z,288-1-1-111,,worn_during_motion
1703896860000,2023-12-30T00:41:00Z,288-1-1-111,,worn_during_motion
1703896920000,2023-12-30T00:42:00Z,288-1-1-111,,worn_during_motion
1703896980000,2023-12-30T00:43:00Z,288-1-1-111,,worn_during_motion
1703897040000,2023-12-30T00:44:00Z,288-1-1-111,,worn_during_motion
1703897100000,2023-12-30T00:45:00Z,288-1-1-111,,worn_during_motion
1703897160000,2023-12-30T00:46:00Z,288-1-1-111,,worn_during_motion
1703897220000,2023-12-30T00:47:00Z,288-1-1-111,,worn_during_motion
1703897280000,2023-12-30T00:48:00Z,288-1-1-111,,worn_during_motion
1703897340000,2023-12-30T00:49:00Z,288-1-1-111,,worn_during_motion
1703897400000,2023-12-30T00:50:00Z,288-1-1-111,,worn_during_motion
1703897460000,2023-12-30T00:51:00Z,288-1-1-111,,worn_during_motion
1703897520000,2023-12-30T00:52:00Z,288-1-1-111,,worn_during_motion
1703897580000,2023-12-30T00:53:00Z,288-1-1-111,,worn_during_motion
1703897640000,2023-12-30T00:54:00Z,288-1-1-111,,worn_during_motion
1703897700000,2023-12-30T00:55:00Z,288-1-1-111,,worn_during_motion
1703897760000,2023-12-30T00:56:00Z,288-1-1-111,,worn_during_motion
1703897820000,2023-12-30T00:57:00Z,288-1-1-111,,worn_during_motion
1703897880000,2023-12-30T00:58:00Z,288-1-1-111,,worn_during_motion
1703897940000,2023-12-30T00:59:00Z,288-1-1-111,,worn_during_motion
1703898000000,2023-12-30T01:00:00Z,288-1-1-111,,worn_during_motion
1703898060000,2023-12-30T01:01:00Z,288-1-1-111,,worn_during_motion
1703898120000,2023-12-30T01:02:00Z,288-1-1-111,,worn_during_motion
1703898180000,2023-12-30T01:03:00Z,288-1-1-111,,worn_during_motion
1703898240000,2023-12-30T01:04:00Z,288-1-1-111,,worn_during_motion
1703898300000,2023-12-30T01:05:00Z,288-1-1-111,,worn_during_motion
1703898360000,2023-12-30T01:06:00Z,288-1-1-111,,worn_during_motion
1703898420000,2023-12-30T01:07:00Z,288-1-1-111,,worn_during_motion
1703898480000,2023-12-30T01:08:00Z,288-1-1-111,,worn_during_motion
1703898540000,2023-12-30T01:09:00Z,288-1-1-111,,worn_during_motion
1703898600000,2023-12-30T01:10:00Z,288-1-1-111,,worn_during_motion
1703898660000,2023-12-30T01:11:00Z,288-1-1-111,,worn_during_motion
1703898720000,2023-12-30T01:12:00Z,288-1-1-111,,worn_during_motion
1703898780000,2023-12-30T01:13:00Z,288-1-1-111,,worn_during_motion
1703898840000,2023-12-30T01:14:00Z,288-1-1-111,,worn_during_motion
1703898900000,2023-12-30T01:15:00Z,288-1-1-111,,worn_during_motion
1703898960000,2023-12-30T01:16:00Z,288-1-1-111,,worn_during_motion
1703899020000,2023-12-30T01:17:00Z,288-1-1-111,,worn_during_motion
1703899080000,2023-12-30T01:18:00Z,288-1-1-111,,worn_during_motion
1703899140000,2023-12-30T01:19:00Z,288-1-1-111,,worn_during_motion
1703899200000,2023-12-30T01:20:00Z,288-1-1-111,,worn_during_motion
1703899260000,2023-12-30T01:21:00Z,288-1-1-111,,worn_during_motion
1703899320000,2023-12-30T01:22:00Z,288-1-1-111,,worn_during_motion
1703899380000,2023-12-30T01:23:00Z,288-1-1-111,,worn_during_motion
1703899440000,2023-12-30T01:24:00Z,288-1-1-111,,worn_during_motion
1703899500000,2023-12-30T01:25:00Z,288-1-1-111,,worn_during_motion
1703899560000,2023-12-30T01:26:00Z,288-1-1-111,,worn_during_motion
1703899620000,2023-12-30T01:27:00Z,288-1-1-111,,worn_during_motion
1703899680000,2023-12-30T01:28:00Z,288-1-1-111,,worn_during_motion
1703899740000,2023-12-30T01:29:00Z,288-1-1-111,,worn_during_motion
1703899800000,2023-12-30T01:30:00Z,288-1-1-111,,worn_during_motion
1703899860000,2023-12-30T01:31:00Z,288-1-1-111,,worn_during_motion
1703899920000,2023-12-30T01:32:00Z,288-1-1-111,,worn_during_motion
1703899980000,2023-12-30T01:33:00Z,288-1-1-111,,worn_during_motion
1703900040000,2023-12-30T01:34:00Z,288-1-1-111,,worn_during_motion
1703900100000,2023-12-30T01:35:00Z,288-1-1-111,,worn_during_motion
1703900160000,2023-12-30T01:36:00Z,288-1-1-111,,worn_during_motion
1703900220000,2023-12-30T01:37:00Z,288-1-1-111,,worn_during_motion
1703900280000,2023-12-30T01:38:00Z,288-1-1-111,,worn_during_motion
1703900340000,2023-12-30T01:39:00Z,288-1-1-111,,worn_during_motion
1703900400000,2023-12-30T01:40:00Z,288-1-1-111,,worn_during_motion
1703900460000,2023-12-30T01:41:00Z,288-1-1-111,,worn_during_motion
1703900520000,2023-12-30T01:42:00Z,288-1-1-111,,worn_during_motion
1703900580000,2023-12-30T01:43:00Z,288-1-1-111,,worn_during_motion
1703900640000,2023-12-30T01:44:00Z,288-1-1-111,,worn_during_motion
1703900700000,2023-12-30T01:45:00Z,288-1-1-111,,worn_during_motion
1703900760000,2023-12-30T01:46:00Z,288-1-1-111,,worn_during_motion
1703900820000,2023-12-30T01:47:00Z,288-1-1-111,,worn_during_motion
1703900880000,2023-12-30T01:48:00Z,288-1-1-111,,worn_during_motion
1703900940000,2023-12-30T01:49:00Z,288-1-1-111,,worn_during_motion
1703901000000,2023-12-30T01:50:00Z,288-1-1-111,,worn_during_motion
1703901060000,2023-12-30T01:51:00Z,288-1-1-111,,worn_during_motion
1703901120000,2023-12-30T01:52:00Z,288-1-1-111,,worn_during_motion
1703901180000,2023-12-30T01:53:00Z,288-1-1-111,,worn_during_motion
1703901240000,2023-12-30T01:54:00Z,288-1-1-111,,worn_during_motion
1703901300000,2023-12-30T01:55:00Z,288-1-1-111,,worn_during_motion
1703901360000,2023-12-30T01:56:00Z,288-1-1-111,,worn_during_motion
1703901420000,2023-12-30T01:57:00Z,288-1-1-111,,worn_during_motion
1703901480000,2023-12-30T01:58:00Z,288-1-1-111,,worn_during_motion
1703901540000,2023-12-30T01:59:00Z,288-1-1-111,,worn_during_motion
1703901600000,2023-12-30T02:00:00Z,288-1-1-111,,worn_during_motion
1703901660000,2023-12-30T02:01:00Z,288-1-1-111,,worn_during_motion
1703901720000,2023-12-30T02:02:00Z,288-1-1-111,,worn_during_motion
1703901780000,2023-12-30T02:03:00Z,288-1-1-111,,worn_during_motion
1703901840000,2023-12-30T02:04:00Z,288-1-1-111,,worn_during_motion
