timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1713398400000,2024-04-18T00:00:00Z,288-1-1-117,25892,12400,4539,29064,
1713398460000,2024-04-18T00:01:00Z,288-1-1-117,27186,12894,4209,30381,
1713398520000,2024-04-18T00:02:00Z,288-1-1-117,25598,12513,3958,28766,
1713398580000,2024-04-18T00:03:00Z,288-1-1-117,27170,12951,4495,30432,
1713398640000,2024-04-18T00:04:00Z,288-1-1-117,21422,10674,3467,24183,
1713398700000,2024-04-18T00:05:00Z,288-1-1-117,27987,13273,3742,31200,
1713398760000,2024-04-18T00:06:00Z,288-1-1-117,26815,12491,4234,29883,
1713398820000,2024-04-18T00:07:00Z,288-1-1-117,24199,11822,4450,27297,
1713398880000,2024-04-18T00:08:00Z,288-1-1-117,16951,8150,3479,19127,
1713398940000,2024-04-18T00:09:00Z,288-1-1-117,23502,11515,4479,26551,
1713399000000,2024-04-18T00:10:00Z,288-1-1-117,23088,11247,5427,26248,
1713399060000,2024-04-18T00:11:00Z,288-1-1-117,25191,12331,4897,28471,
1713399120000,2024-04-18T00:12:00Z,288-1-1-117,28056,13251,4194,31310,
1713399180000,2024-04-18T00:13:00Z,288-1-1-117,27056,13206,3994,30370,
1713399240000,2024-04-18T00:14:00Z,288-1-1-117,24535,12289,5395,27965,
1713399300000,2024-04-18T00:15:00Z,288-1-1-117,24093,11733,3953,27088,
1713399360000,2024-04-18T00:16:00Z,288-1-1-117,24169,12441,5412,27716,
1713399420000,2024-04-18T00:17:00Z,288-1-1-117,25082,12265,4917,28349,
1713399480000,2024-04-18T00:18:00Z,288-1-1-117,21499,10722,4479,24438,
1713399540000,2024-04-18T00:19:00Z,288-1-1-117,20647,10322,5789,23798,
1713399600000,2024-04-18T00:20:00Z,288-1-1-117,25662,12621,5370,29097,
1713399660000,2024-04-18T00:21:00Z,288-1-1-117,24283,11872,4602,27418,
1713399720000,2024-04-18T00:22:00Z,288-1-1-117,22846,11876,5045,26237,
1713399780000,2024-04-18T00:23:00Z,288-1-1-117,24724,12907,4839,28306,
1713399840000,2024-04-18T00:24:00Z,288-1-1-117,22834,11661,4644,26056,
1713399900000,2024-04-18T00:25:00Z,288-1-1-117,21335,10588,4318,24206,
1713399960000,2024-04-18T00:26:00Z,288-1-1-117,21003,10878,3873,23967,
1713400020000,2024-04-18T00:27:00Z,288-1-1-117,19496,9863,4088,22228,
1713400080000,2024-04-18T00:28:00Z,288-1-1-117,22059,11546,4625,25323,
1713400140000,2024-04-18T00:29:00Z,288-1-1-117,23126,11837,3902,26270,
1713400200000,2024-04-18T00:30:00Z,288-1-1-117,22762,12076,4874,26223,
1713400260000,2024-04-18T00:31:00Z,288-1-1-117,12755,6786,2964,14748,
1713400320000,2024-04-18T00:32:00Z,288-1-1-117,21974,11391,4801,25212,
1713400380000,2024-04-18T00:33:00Z,288-1-1-117,23622,11821,3933,26705,
1713400440000,2024-04-18T00:34:00Z,288-1-1-117,17967,9430,4195,20720,
1713400500000,2024-04-18T00:35:00Z,288-1-1-117,23742,12136,4644,27065,
1713400560000,2024-04-18T00:36:00Z,288-1-1-117,18092,8695,4565,20585,
1713400620000,2024-04-18T00:37:00Z,288-1-1-117,22770,11472,3852,25785,
1713400680000,2024-04-18T00:38:00Z,288-1-1-117,16790,8744,3937,19335,
1713400740000,2024-04-18T00:39:00Z,288-1-1-117,16863,8929,5335,19812,
1713400800000,2024-04-18T00:40:00Z,288-1-1-117,20294,9940,3454,22860,
1713400860000,2024-04-18T00:41:00Z,288-1-1-117,24802,12215,5148,28122,
1713400920000,2024-04-18T00:42:00Z,288-1-1-117,21056,10618,5279,24165,
1713400980000,2024-04-18T00:43:00Z,288-1-1-117,23740,11638,4138,26761,
1713401040000,2024-04-18T00:44:00Z,288-1-1-117,20786,10022,4654,23540,
1713401100000,2024-04-18T00:45:00Z,288-1-1-117,23293,11020,3791,26045,
1713401160000,2024-04-18T00:46:00Z,288-1-1-117,16883,8796,3309,19322,
1713401220000,2024-04-18T00:47:00Z,288-1-1-117,1131,906,1484,2074,
1713401280000,2024-04-18T00:48:00Z,288-1-1-117,4,0,85,85,
1713401340000,2024-04-18T00:49:00Z,288-1-1-117,0,0,0,0,
1713401400000,2024-04-18T00:50:00Z,288-1-1-117,0,0,99,99,
1713401460000,2024-04-18T00:51:00Z,288-1-1-117,2475,1567,2402,3788,
1713401520000,2024-04-18T00:52:00Z,288-1-1-117,3607,4011,4679,7140,
1713401580000,2024-04-18T00:53:00Z,288-1-1-117,15737,7465,3974,17865,
1713401640000,2024-04-18T00:54:00Z,288-1-1-117,26401,12305,2905,29272,
1713401700000,2024-04-18T00:55:00Z,288-1-1-117,22379,10624,3092,24964,
1713401760000,2024-04-18T00:56:00Z,288-1-1-117,23116,12315,3883,26478,
1713401820000,2024-04-18T00:57:00Z,288-1-1-117,24136,12066,4370,27335,
1713401880000,2024-04-18T00:58:00Z,288-1-1-117,24139,12451,3371,27369,
1713401940000,2024-04-18T00:59:00Z,288-1-1-117,20439,10510,3857,23304,
1713402000000,2024-04-18T01:00:00Z,288-1-1-117,18994,9900,3866,21765,
1713402060000,2024-04-18T01:01:00Z,288-1-1-117,18360,9976,3612,21205,
1713402120000,2024-04-18T01:02:00Z,288-1-1-117,18371,9168,2556,20690,
1713402180000,2024-04-18T01:03:00Z,288-1-1-117,17840,8214,4718,20198,
1713402240000,2024-04-18T01:04:00Z,288-1-1-117,18904,9441,2673,21298,
1713402300000,2024-04-18T01:05:00Z,288-1-1-117,22025,10745,5170,25045,
1713402360000,2024-04-18T01:06:00Z,288-1-1-117,19620,10123,3099,22294,
1713402420000,2024-04-18T01:07:00Z,288-1-1-117,20932,10068,4132,23592,
1713402480000,2024-04-18T01:08:00Z,288-1-1-117,17713,8433,4159,20054,
1713402540000,2024-04-18T01:09:00Z,288-1-1-117,16117,7877,3912,18360,
1713402600000,2024-04-18T01:10:00Z,288-1-1-117,16785,9082,4889,19700,
1713402660000,2024-04-18T01:11:00Z,288-1-1-117,4969,3508,3885,7217,
1713402720000,2024-04-18T01:12:00Z,288-1-1-117,4366,3754,3271,6622,
1713402780000,2024-04-18T01:13:00Z,288-1-1-117,1458,1592,1452,2601,
