timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1703721600000,2023-12-28T00:00:00Z,288-1-1-111,204,360,585,716,
1703721660000,2023-12-28T00:01:00Z,288-1-1-111,395,334,528,739,
1703721720000,2023-12-28T00:02:00Z,288-1-1-111,1316,1400,1600,2500,
1703721780000,2023-12-28T00:03:00Z,288-1-1-111,1820,2686,2514,4104,
1703721840000,2023-12-28T00:04:00Z,288-1-1-111,404,1157,356,1276,
1703721900000,2023-12-28T00:05:00Z,288-1-1-111,1300,903,954,1848,
1703721960000,2023-12-28T00:06:00Z,288-1-1-111,1851,1523,1796,2995,
1703722020000,2023-12-28T00:07:00Z,288-1-1-111,2270,1029,1318,2819,
1703722080000,2023-12-28T00:08:00Z,288-1-1-111,1793,1269,1510,2665,
1703722140000,2023-12-28T00:09:00Z,288-1-1-111,1323,1479,2874,3492,
1703722200000,2023-12-28T00:10:00Z,288-1-1-111,709,827,1814,2115,
1703722260000,2023-12-28T00:11:00Z,288-1-1-111,281,416,1084,1194,
1703722320000,2023-12-28T00:12:00Z,288-1-1-111,193,187,1026,1060,
1703722380000,2023-12-28T00:13:00Z,288-1-1-111,286,397,913,1035,
1703722440000,2023-12-28T00:14:00Z,288-1-1-111,634,330,913,1159,
1703722500000,2023-12-28T00:15:00Z,288-1-1-111,184,154,623,667,
1703722560000,2023-12-28T00:16:00Z,288-1-1-111,625,626,998,1333,
1703722620000,2023-12-28T00:17:00Z,288-1-1-111,412,678,595,991,
1703722680000,2023-12-28T00:18:00Z,288-1-1-111,287,278,1192,1257,
1703722740000,2023-12-28T00:19:00Z,288-1-1-111,522,301,345,694,
1703722800000,2023-12-28T00:20:00Z,288-1-1-111,63,137,246,288,
1703722860000,2023-12-28T00:21:00Z,288-1-1-111,0,0,0,0,
1703722920000,2023-12-28T00:22:00Z,288-1-1-111,3,316,652,724,
1703722980000,2023-12-28T00:23:00Z,288-1-1-111,208,293,912,980,
1703723040000,2023-12-28T00:24:00Z,288-1-1-111,923,674,612,1296,
1703723100000,2023-12-28T00:25:00Z,288-1-1-111,112,79,125,185,
1703723160000,2023-12-28T00:26:00Z,288-1-1-111,808,515,745,1213,
1703723220000,2023-12-28T00:27:00Z,288-1-1-111,1676,793,1111,2161,
1703723280000,2023-12-28T00:28:00Z,288-1-1-111,842,459,928,1334,
1703723340000,2023-12-28T00:29:00Z,288-1-1-111,1,126,269,297,
1703723400000,2023-12-28T00:30:00Z,288-1-1-111,33,127,425,444,
1703723460000,2023-12-28T00:31:00Z,288-1-1-111,0,0,0,0,
1703723520000,2023-12-28T00:32:00Z,288-1-1-111,214,136,64,261,
1703723580000,2023-12-28T00:33:00Z,288-1-1-111,85,71,27,113,
1703723640000,2023-12-28T00:34:00Z,288-1-1-111,286,448,649,838,
1703723700000,2023-12-28T00:35:00Z,288-1-1-111,0,16,20,25,
1703723760000,2023-12-28T00:36:00Z,288-1-1-111,0,72,213,224,
1703723820000,2023-12-28T00:37:00Z,288-1-1-111,39,181,121,221,
1703723880000,2023-12-28T00:38:00Z,288-1-1-111,152,242,49,289,
1703723940000,2023-12-28T00:39:00Z,288-1-1-111,668,1000,1005,1567,
1703724000000,2023-12-28T00:40:00Z,288-1-1-111,480,751,760,1171,
1703724060000,2023-12-28T00:41:00Z,288-1-1-111,1310,745,692,1658,
1703724120000,2023-12-28T00:42:00Z,288-1-1-111,323,203,190,426,
1703724180000,2023-12-28T00:43:00Z,288-1-1-111,403,550,511,852,
1703724240000,2023-12-28T00:44:00Z,288-1-1-111,397,280,375,613,
1703724300000,2023-12-28T00:45:00Z,288-1-1-111,1094,1019,1764,2312,
1703724360000,2023-12-28T00:46:00Z,288-1-1-111,429,394,680,895,
1703724420000,2023-12-28T00:47:00Z,288-1-1-111,5,275,299,406,
1703724480000,2023-12-28T00:48:00Z,288-1-1-111,0,70,55,89,
1703724540000,2023-12-28T00:49:00Z,288-1-1-111,569,463,516,896,
1703724600000,2023-12-28T00:50:00Z,288-1-1-111,269,424,513,717,
1703724660000,2023-12-28T00:51:00Z,288-1-1-111,80,104,90,159,
1703724720000,2023-12-28T00:52:00Z,288-1-1-111,74,282,268,396,
1703724780000,2023-12-28T00:53:00Z,288-1-1-111,0,12,30,32,
1703724840000,2023-12-28T00:54:00Z,288-1-1-111,0,8,11,13,
1703724900000,2023-12-28T00:55:00Z,288-1-1-111,218,559,394,717,
1703724960000,2023-12-28T00:56:00Z,288-1-1-111,47,109,181,216,
1703725020000,2023-12-28T00:57:00Z,288-1-1-111,75,495,425,656,
1703725080000,2023-12-28T00:58:00Z,288-1-1-111,10,104,304,321,
1703725140000,2023-12-28T00:59:00Z,288-1-1-111,88,278,118,314,
1703725200000,2023-12-28T01:00:00Z,288-1-1-111,149,265,732,792,
1703725260000,2023-12-28T01:01:00Z,288-1-1-111,129,205,877,909,
1703725320000,2023-12-28T01:02:00Z,288-1-1-111,484,307,413,706,
1703725380000,2023-12-28T01:03:00Z,288-1-1-111,412,307,204,552,
1703725440000,2023-12-28T01:04:00Z,288-1-1-111,292,313,537,686,
1703725500000,2023-12-28T01:05:00Z,288-1-1-111,433,216,92,492,
1703725560000,2023-12-28T01:06:00Z,288-1-1-111,896,656,1573,1925,
1703725620000,2023-12-28T01:07:00Z,288-1-1-111,331,796,472,982,
1703725680000,2023-12-28T01:08:00Z,288-1-1-111,138,307,347,483,
1703725740000,2023-12-28T01:09:00Z,288-1-1-111,694,533,559,1038,
1703725800000,2023-12-28T01:10:00Z,288-1-1-111,415,493,1532,1662,
1703725860000,2023-12-28T01:11:00Z,288-1-1-111,31,12,650,650,
1703725920000,2023-12-28T01:12:00Z,288-1-1-111,13,8,720,720,
1703725980000,2023-12-28T01:13:00Z,288-1-1-111,368,301,759,895,
1703726040000,2023-12-28T01:14:00Z,288-1-1-111,588,272,639,909,
1703726100000,2023-12-28T01:15:00Z,288-1-1-111,0,0,0,0,
1703726160000,2023-12-28T01:16:00Z,288-1-1-111,281,39,129,311,
1703726220000,2023-12-28T01:17:00Z,288-1-1-111,110,216,231,334,
1703726280000,2023-12-28T01:18:00Z,288-1-1-111,6,45,86,97,
1703726340000,2023-12-28T01:19:00Z,288-1-1-111,191,347,139,419,
1703726400000,2023-12-28T01:20:00Z,288-1-1-111,440,330,330,641,
1703726460000,2023-12-28T01:21:00Z,288-1-1-111,245,212,164,363,
1703726520000,2023-12-28T01:22:00Z,288-1-1-111,344,224,217,464,
1703726580000,2023-12-28T01:23:00Z,288-1-1-111,711,1379,1158,1936,
1703726640000,2023-12-28T01:24:00Z,288-1-1-111,680,801,472,1151,
1703726700000,2023-12-28T01:25:00Z,288-1-1-111,32,143,187,237,
1703726760000,2023-12-28T01:26:00Z,288-1-1-111,117,343,239,434,
1703726820000,2023-12-28T01:27:00Z,288-1-1-111,0,129,32,132,
1703726880000,2023-12-28T01:28:00Z,288-1-1-111,0,102,60,118,
1703726940000,2023-12-28T01:29:00Z,288-1-1-111,1016,799,865,1555,
1703727000000,2023-12-28T01:30:00Z,288-1-1-111,1105,1133,1902,2474,
1703727060000,2023-12-28T01:31:00Z,288-1-1-111,1698,1725,5821,6304,
1703727120000,2023-12-28T01:32:00Z,288-1-1-111,874,1123,1422,2011,
1703727180000,2023-12-28T01:33:00Z,288-1-1-111,2222,2039,2442,3880,
1703727240000,2023-12-28T01:34:00Z,288-1-1-111,1543,1490,1849,2831,
1703727300000,2023-12-28T01:35:00Z,288-1-1-111,338,284,458,636,
1703727360000,2023-12-28T01:36:00Z,288-1-1-111,610,252,760,1006,
1703727420000,2023-12-28T01:37:00Z,288-1-1-111,1427,1239,1112,2192,
1703727480000,2023-12-28T01:38:00Z,288-1-1-111,4066,6108,2469,7741,
1703727540000,2023-12-28T01:39:00Z,288-1-1-111,3303,4689,1281,5876,
1703727600000,2023-12-28T01:40:00Z,288-1-1-111,2570,3436,1382,4507,
1703727660000,2023-12-28T01:41:00Z,288-1-1-111,3968,6627,1439,7857,
1703727720000,2023-12-28T01:42:00Z,288-1-1-111,2079,2641,1174,3560,
1703727780000,2023-12-28T01:43:00Z,288-1-1-111,4492,6248,2145,7988,
1703727840000,2023-12-28T01:44:00Z,288-1-1-111,3918,4501,1610,6180,
1703727900000,2023-12-28T01:45:00Z,288-1-1-111,2274,2414,842,3421,
1703727960000,2023-12-28T01:46:00Z,288-1-1-111,1961,1603,810,2659,
1703728020000,2023-12-28T01:47:00Z,288-1-1-111,2893,4453,1556,5533,
1703728080000,2023-12-28T01:48:00Z,288-1-1-111,3653,3323,2469,5521,
1703728140000,2023-12-28T01:49:00Z,288-1-1-111,3750,5763,1880,7128,
1703728200000,2023-12-28T01:50:00Z,288-1-1-111,4851,8386,2274,9951,
1703728260000,2023-12-28T01:51:00Z,288-1-1-111,2959,3693,1217,4886,
1703728320000,2023-12-28T01:52:00Z,288-1-1-111,2316,2588,1148,3657,
