timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1711584000000,2024-03-28T00:00:00Z,288-1-1-116,,device_not_recording
1711584060000,2024-03-28T00:01:00Z,288-1-1-116,,device_not_recording
1711584120000,2024-03-28T00:02:00Z,288-1-1-116,,device_not_recording
1711584180000,2024-03-28T00:03:00Z,288-1-1-116,,device_not_recording
1711584240000,2024-03-28T00:04:00Z,288-1-1-116,,device_not_recording
1711584300000,2024-03-28T00:05:00Z,288-1-1-116,,device_not_recording
1711584360000,2024-03-28T00:06:00Z,288-1-1-116,,device_not_recording
1711584420000,2024-03-28T00:07:00Z,288-1-1-116,,device_not_recording
1711584480000,2024-03-28T00:08:00Z,288-1-1-116,,device_not_recording
1711584540000,2024-03-28T00:09:00Z,288-1-1-116,,device_not_recording
1711584600000,2024-03-28T00:10:00Z,288-1-1-116,,device_not_recording
1711584660000,2024-03-28T00:11:00Z,288-1-1-116,,device_not_recording
1711584720000,2024-03-28T00:12:00Z,288-1-1-116,,device_not_recording
1711584780000,2024-03-28T00:13:00Z,288-1-1-116,,device_not_recording
1711584840000,2024-03-28T00:14:00Z,288-1-1-116,,device_not_recording
1711584900000,2024-03-28T00:15:00Z,288-1-1-116,,device_not_recording
1711584960000,2024-03-28T00:16:00Z,288-1-1-116,,device_not_recording
1711585020000,2024-03-28T00:17:00Z,288-1-1-116,,device_not_recording
1711585080000,2024-03-28T00:18:00Z,288-1-1-116,,device_not_recording
1711585140000,2024-03-28T00:19:00Z,288-1-1-116,,device_not_recording
1711585200000,2024-03-28T00:20:00Z,288-1-1-116,,device_not_recording
1711585260000,2024-03-28T00:21:00Z,288-1-1-116,,device_not_recording
1711585320000,2024-03-28T00:22:00Z,288-1-1-116,,device_not_recording
1711585380000,2024-03-28T00:23:00Z,288-1-1-116,,device_not_recording
1711585440000,2024-03-28T00:24:00Z,288-1-1-116,,device_not_recording
1711585500000,2024-03-28T00:25:00Z,288-1-1-116,,device_not_recording
1711585560000,2024-03-28T00:26:00Z,288-1-1-116,,device_not_recording
1711585620000,2024-03-28T00:27:00Z,288-1-1-116,,device_not_recording
1711585680000,2024-03-28T00:28:00Z,288-1-1-116,,device_not_recording
1711585740000,2024-03-28T00:29:00Z,288-1-1-116,,device_not_recording
1711585800000,2024-03-28T00:30:00Z,288-1-1-116,,device_not_recording
1711585860000,2024-03-28T00:31:00Z,288-1-1-116,,device_not_recording
1711585920000,2024-03-28T00:32:00Z,288-1-1-116,,device_not_recording
1711585980000,2024-03-28T00:33:00Z,288-1-1-116,,device_not_recording
1711586040000,2024-03-28T00:34:00Z,288-1-1-116,,device_not_recording
1711586100000,2024-03-28T00:35:00Z,288-1-1-116,,device_not_recording
1711586160000,2024-03-28T00:36:00Z,288-1-1-116,,device_not_recording
1711586220000,2024-03-28T00:37:00Z,288-1-1-116,,device_not_recording
1711586280000,2024-03-28T00:38:00Z,288-1-1-116,,device_not_recording
1711586340000,2024-03-28T00:39:00Z,288-1-1-116,,device_not_recording
1711586400000,2024-03-28T00:40:00Z,288-1-1-116,,device_not_recording
1711586460000,2024-03-28T00:41:00Z,288-1-1-116,,device_not_recording
1711586520000,2024-03-28T00:42:00Z,288-1-1-116,,device_not_recording
1711586580000,2024-03-28T00:43:00Z,288-1-1-116,,device_not_recording
