timestamp_unix,timestamp_iso,participant_full_id,sleep_detection_stage,missing_value_reason
1703121540000,2023-12-21T01:19:00Z,288-1-1-009,0,
1703121600000,2023-12-21T01:20:00Z,288-1-1-009,0,
1703121660000,2023-12-21T01:21:00Z,288-1-1-009,0,
1703121720000,2023-12-21T01:22:00Z,288-1-1-009,0,
1703121780000,2023-12-21T01:23:00Z,288-1-1-009,0,
1703121840000,2023-12-21T01:24:00Z,288-1-1-009,0,
1703121900000,2023-12-21T01:25:00Z,288-1-1-009,0,
1703121960000,2023-12-21T01:26:00Z,288-1-1-009,0,
1703122020000,2023-12-21T01:27:00Z,288-1-1-009,0,
1703122080000,2023-12-21T01:28:00Z,288-1-1-009,0,
1703122140000,2023-12-21T01:29:00Z,288-1-1-009,0,
1703122200000,2023-12-21T01:30:00Z,288-1-1-009,0,
1703122260000,2023-12-21T01:31:00Z,288-1-1-009,0,
1703122320000,2023-12-21T01:32:00Z,288-1-1-009,0,
1703122380000,2023-12-21T01:33:00Z,288-1-1-009,0,
1703122440000,2023-12-21T01:34:00Z,288-1-1-009,0,
1703122500000,2023-12-21T01:35:00Z,288-1-1-009,0,
1703122560000,2023-12-21T01:36:00Z,288-1-1-009,0,
1703122620000,2023-12-21T01:37:00Z,288-1-1-009,0,
1703122680000,2023-12-21T01:38:00Z,288-1-1-009,0,
1703122740000,2023-12-21T01:39:00Z,288-1-1-009,0,
1703122800000,2023-12-21T01:40:00Z,288-1-1-009,0,
1703122860000,2023-12-21T01:41:00Z,288-1-1-009,0,
1703122920000,2023-12-21T01:42:00Z,288-1-1-009,0,
1703122980000,2023-12-21T01:43:00Z,288-1-1-009,0,
1703123040000,2023-12-21T01:44:00Z,288-1-1-009,0,
1703123100000,2023-12-21T01:45:00Z,288-1-1-009,0,
1703123160000,2023-12-21T01:46:00Z,288-1-1-009,0,
1703123220000,2023-12-21T01:47:00Z,288-1-1-009,0,
1703123280000,2023-12-21T01:48:00Z,288-1-1-009,0,
1703123340000,2023-12-21T01:49:00Z,288-1-1-009,0,
1703123400000,2023-12-21T01:50:00Z,288-1-1-009,0,
1703123460000,2023-12-21T01:51:00Z,288-1-1-009,0,
1703123520000,2023-12-21T01:52:00Z,288-1-1-009,0,
1703123580000,2023-12-21T01:53:00Z,288-1-1-009,0,
1703123640000,2023-12-21T01:54:00Z,288-1-1-009,0,
1703123700000,2023-12-21T01:55:00Z,288-1-1-009,0,
1703123760000,2023-12-21T01:56:00Z,288-1-1-009,0,
1703123820000,2023-12-21T01:57:00Z,288-1-1-009,0,
1703123880000,2023-12-21T01:58:00Z,288-1-1-009,0,
1703123940000,2023-12-21T01:59:00Z,288-1-1-009,0,
1703124000000,2023-12-21T02:00:00Z,288-1-1-009,0,
1703124060000,2023-12-21T02:01:00Z,288-1-1-009,0,
1703124120000,2023-12-21T02:02:00Z,288-1-1-009,,device_not_worn_correctly
1703124180000,2023-12-21T02:03:00Z,288-1-1-009,,device_not_worn_correctly
1703124240000,2023-12-21T02:04:00Z,288-1-1-009,,device_not_worn_correctly
1703124300000,2023-12-21T02:05:00Z,288-1-1-009,,device_not_worn_correctly
