timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1710120360000,2024-03-11T01:26:00Z,288-1-1-114,99,
1710120420000,2024-03-11T01:27:00Z,288-1-1-114,101,
1710120480000,2024-03-11T01:28:00Z,288-1-1-114,101,
1710120540000,2024-03-11T01:29:00Z,288-1-1-114,102,
1710120600000,2024-03-11T01:30:00Z,288-1-1-114,99,
1710120660000,2024-03-11T01:31:00Z,288-1-1-114,103,
1710120720000,2024-03-11T01:32:00Z,288-1-1-114,107,
1710120780000,2024-03-11T01:33:00Z,288-1-1-114,109,
1710120840000,2024-03-11T01:34:00Z,288-1-1-114,107,
1710120900000,2024-03-11T01:35:00Z,288-1-1-114,100,
1710120960000,2024-03-11T01:36:00Z,288-1-1-114,105,
1710121020000,2024-03-11T01:37:00Z,288-1-1-114,113,
1710121080000,2024-03-11T01:38:00Z,288-1-1-114,114,
1710121140000,2024-03-11T01:39:00Z,288-1-1-114,105,
1710121200000,2024-03-11T01:40:00Z,288-1-1-114,115,
1710121260000,2024-03-11T01:41:00Z,288-1-1-114,119,
1710121320000,2024-03-11T01:42:00Z,288-1-1-114,117,
1710121380000,2024-03-11T01:43:00Z,288-1-1-114,121,
1710121440000,2024-03-11T01:44:00Z,288-1-1-114,110,
1710121500000,2024-03-11T01:45:00Z,288-1-1-114,103,
1710121560000,2024-03-11T01:46:00Z,288-1-1-114,106,
1710121620000,2024-03-11T01:47:00Z,288-1-1-114,110,
1710121680000,2024-03-11T01:48:00Z,288-1-1-114,107,
1710121740000,2024-03-11T01:49:00Z,288-1-1-114,106,
1710121800000,2024-03-11T01:50:00Z,288-1-1-114,108,
1710121860000,2024-03-11T01:51:00Z,288-1-1-114,108,
1710121920000,2024-03-11T01:52:00Z,288-1-1-114,101,
1710121980000,2024-03-11T01:53:00Z,288-1-1-114,107,
1710122040000,2024-03-11T01:54:00Z,288-1-1-114,101,
1710122100000,2024-03-11T01:55:00Z,288-1-1-114,70,
1710122160000,2024-03-11T01:56:00Z,288-1-1-114,60,
1710122220000,2024-03-11T01:57:00Z,288-1-1-114,79,
1710122280000,2024-03-11T01:58:00Z,288-1-1-114,96,
1710122340000,2024-03-11T01:59:00Z,288-1-1-114,99,
1710122400000,2024-03-11T02:00:00Z,288-1-1-114,111,
1710122460000,2024-03-11T02:01:00Z,288-1-1-114,105,
1710122520000,2024-03-11T02:02:00Z,288-1-1-114,115,
1710122580000,2024-03-11T02:03:00Z,288-1-1-114,110,
1710122640000,2024-03-11T02:04:00Z,288-1-1-114,97,
1710122700000,2024-03-11T02:05:00Z,288-1-1-114,96,
1710122760000,2024-03-11T02:06:00Z,288-1-1-114,92,
