timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1712107080000,2024-04-03T01:18:00Z,288-1-1-116,sedentary,
1712107140000,2024-04-03T01:19:00Z,288-1-1-116,LPA,
1712107200000,2024-04-03T01:20:00Z,288-1-1-116,sedentary,
1712107260000,2024-04-03T01:21:00Z,288-1-1-116,sedentary,
1712107320000,2024-04-03T01:22:00Z,288-1-1-116,sedentary,
1712107380000,2024-04-03T01:23:00Z,288-1-1-116,sedentary,
1712107440000,2024-04-03T01:24:00Z,288-1-1-116,sedentary,
1712107500000,2024-04-03T01:25:00Z,288-1-1-116,sedentary,
1712107560000,2024-04-03T01:26:00Z,288-1-1-116,sedentary,
1712107620000,2024-04-03T01:27:00Z,288-1-1-116,sedentary,
1712107680000,2024-04-03T01:28:00Z,288-1-1-116,sedentary,
1712107740000,2024-04-03T01:29:00Z,288-1-1-116,sedentary,
1712107800000,2024-04-03T01:30:00Z,288-1-1-116,sedentary,
1712107860000,2024-04-03T01:31:00Z,288-1-1-116,sedentary,
1712107920000,2024-04-03T01:32:00Z,288-1-1-116,sedentary,
1712107980000,2024-04-03T01:33:00Z,288-1-1-116,sedentary,
1712108040000,2024-04-03T01:34:00Z,288-1-1-116,sedentary,
1712108100000,2024-04-03T01:35:00Z,288-1-1-116,sedentary,
1712108160000,2024-04-03T01:36:00Z,288-1-1-116,sedentary,
1712108220000,2024-04-03T01:37:00Z,288-1-1-116,sedentary,
1712108280000,2024-04-03T01:38:00Z,288-1-1-116,sedentary,
1712108340000,2024-04-03T01:39:00Z,288-1-1-116,sedentary,
1712108400000,2024-04-03T01:40:00Z,288-1-1-116,sedentary,
1712108460000,2024-04-03T01:41:00Z,288-1-1-116,sedentary,
1712108520000,2024-04-03T01:42:00Z,288-1-1-116,sedentary,
1712108580000,2024-04-03T01:43:00Z,288-1-1-116,sedentary,
1712108640000,2024-04-03T01:44:00Z,288-1-1-116,sedentary,
1712108700000,2024-04-03T01:45:00Z,288-1-1-116,sedentary,
1712108760000,2024-04-03T01:46:00Z,288-1-1-116,sedentary,
1712108820000,2024-04-03T01:47:00Z,288-1-1-116,sedentary,
