timestamp_unix,timestamp_iso,participant_full_id,activity_counts,missing_value_reason
1712275200000,2024-04-05T00:00:00Z,288-1-1-116,41.0,
1712275260000,2024-04-05T00:01:00Z,288-1-1-116,42.0,
1712275320000,2024-04-05T00:02:00Z,288-1-1-116,83.0,
1712275380000,2024-04-05T00:03:00Z,288-1-1-116,93.0,
1712275440000,2024-04-05T00:04:00Z,288-1-1-116,98.0,
1712275500000,2024-04-05T00:05:00Z,288-1-1-116,126.0,
1712275560000,2024-04-05T00:06:00Z,288-1-1-116,107.0,
1712275620000,2024-04-05T00:07:00Z,288-1-1-116,78.0,
1712275680000,2024-04-05T00:08:00Z,288-1-1-116,88.0,
1712275740000,2024-04-05T00:09:00Z,288-1-1-116,88.0,
1712275800000,2024-04-05T00:10:00Z,288-1-1-116,53.0,
1712275860000,2024-04-05T00:11:00Z,288-1-1-116,106.0,
1712275920000,2024-04-05T00:12:00Z,288-1-1-116,130.0,
1712275980000,2024-04-05T00:13:00Z,288-1-1-116,115.0,
1712276040000,2024-04-05T00:14:00Z,288-1-1-116,143.0,
1712276100000,2024-04-05T00:15:00Z,288-1-1-116,148.0,
1712276160000,2024-04-05T00:16:00Z,288-1-1-116,150.0,
1712276220000,2024-04-05T00:17:00Z,288-1-1-116,143.0,
1712276280000,2024-04-05T00:18:00Z,288-1-1-116,129.0,
1712276340000,2024-04-05T00:19:00Z,288-1-1-116,138.0,
1712276400000,2024-04-05T00:20:00Z,288-1-1-116,136.0,
1712276460000,2024-04-05T00:21:00Z,288-1-1-116,122.0,
1712276520000,2024-04-05T00:22:00Z,288-1-1-116,141.0,
1712276580000,2024-04-05T00:23:00Z,288-1-1-116,145.0,
1712276640000,2024-04-05T00:24:00Z,288-1-1-116,151.0,
1712276700000,2024-04-05T00:25:00Z,288-1-1-116,133.0,
1712276760000,2024-04-05T00:26:00Z,288-1-1-116,128.0,
1712276820000,2024-04-05T00:27:00Z,288-1-1-116,130.0,
1712276880000,2024-04-05T00:28:00Z,288-1-1-116,53.0,
1712276940000,2024-04-05T00:29:00Z,288-1-1-116,63.0,
1712277000000,2024-04-05T00:30:00Z,288-1-1-116,89.0,
1712277060000,2024-04-05T00:31:00Z,288-1-1-116,133.0,
1712277120000,2024-04-05T00:32:00Z,288-1-1-116,119.0,
1712277180000,2024-04-05T00:33:00Z,288-1-1-116,72.0,
1712277240000,2024-04-05T00:34:00Z,288-1-1-116,102.0,
1712277300000,2024-04-05T00:35:00Z,288-1-1-116,73.0,
1712277360000,2024-04-05T00:36:00Z,288-1-1-116,35.0,
