timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1708214400000,2024-02-18T00:00:00Z,288-1-1-113,1604,2806,2186,3901,
1708214460000,2024-02-18T00:01:00Z,288-1-1-113,2877,3661,1796,4990,
1708214520000,2024-02-18T00:02:00Z,288-1-1-113,80,222,77,248,
1708214580000,2024-02-18T00:03:00Z,288-1-1-113,893,1742,642,2060,
1708214640000,2024-02-18T00:04:00Z,288-1-1-113,80,210,62,233,
1708214700000,2024-02-18T00:05:00Z,288-1-1-113,284,203,128,371,
1708214760000,2024-02-18T00:06:00Z,288-1-1-113,126,619,256,681,
1708214820000,2024-02-18T00:07:00Z,288-1-1-113,1470,1562,991,2362,
1708214880000,2024-02-18T00:08:00Z,288-1-1-113,904,1555,775,1958,
1708214940000,2024-02-18T00:09:00Z,288-1-1-113,360,1305,317,1390,
1708215000000,2024-02-18T00:10:00Z,288-1-1-113,633,1269,392,1471,
1708215060000,2024-02-18T00:11:00Z,288-1-1-113,2403,3172,2833,4884,
1708215120000,2024-02-18T00:12:00Z,288-1-1-113,1637,3300,2139,4259,
1708215180000,2024-02-18T00:13:00Z,288-1-1-113,7,0,15,16,
1708215240000,2024-02-18T00:14:00Z,288-1-1-113,541,700,617,1078,
1708215300000,2024-02-18T00:15:00Z,288-1-1-113,1228,1102,1125,1997,
1708215360000,2024-02-18T00:16:00Z,288-1-1-113,959,1851,1533,2587,
1708215420000,2024-02-18T00:17:00Z,288-1-1-113,0,0,0,0,
1708215480000,2024-02-18T00:18:00Z,288-1-1-113,883,901,1421,1900,
1708215540000,2024-02-18T00:19:00Z,288-1-1-113,1103,566,701,1424,
1708215600000,2024-02-18T00:20:00Z,288-1-1-113,1661,953,1731,2581,
1708215660000,2024-02-18T00:21:00Z,288-1-1-113,8,5,63,63,
1708215720000,2024-02-18T00:22:00Z,288-1-1-113,689,360,722,1060,
1708215780000,2024-02-18T00:23:00Z,288-1-1-113,1334,1370,1266,2293,
1708215840000,2024-02-18T00:24:00Z,288-1-1-113,11,359,82,368,
