timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1709947260000,2024-03-09T01:21:00Z,288-1-1-114,21.33,
1709947320000,2024-03-09T01:22:00Z,288-1-1-114,19.54,
1709947380000,2024-03-09T01:23:00Z,288-1-1-114,21.17,
1709947440000,2024-03-09T01:24:00Z,288-1-1-114,29.95,
1709947500000,2024-03-09T01:25:00Z,288-1-1-114,45.89,
1709947560000,2024-03-09T01:26:00Z,288-1-1-114,42.7,
1709947620000,2024-03-09T01:27:00Z,288-1-1-114,39.61,
1709947680000,2024-03-09T01:28:00Z,288-1-1-114,43.25,
1709947740000,2024-03-09T01:29:00Z,288-1-1-114,47.62,
1709947800000,2024-03-09T01:30:00Z,288-1-1-114,39.5,
1709947860000,2024-03-09T01:31:00Z,288-1-1-114,37.12,
1709947920000,2024-03-09T01:32:00Z,288-1-1-114,37.68,
1709947980000,2024-03-09T01:33:00Z,288-1-1-114,37.26,
1709948040000,2024-03-09T01:34:00Z,288-1-1-114,34.48,
1709948100000,2024-03-09T01:35:00Z,288-1-1-114,33.73,
1709948160000,2024-03-09T01:36:00Z,288-1-1-114,32.63,
1709948220000,2024-03-09T01:37:00Z,288-1-1-114,32.04,
1709948280000,2024-03-09T01:38:00Z,288-1-1-114,31.45,
1709948340000,2024-03-09T01:39:00Z,288-1-1-114,30.7,
1709948400000,2024-03-09T01:40:00Z,288-1-1-114,29.88,
1709948460000,2024-03-09T01:41:00Z,288-1-1-114,29.84,
1709948520000,2024-03-09T01:42:00Z,288-1-1-114,28.94,
1709948580000,2024-03-09T01:43:00Z,288-1-1-114,27.92,
1709948640000,2024-03-09T01:44:00Z,288-1-1-114,28.48,
1709948700000,2024-03-09T01:45:00Z,288-1-1-114,28.09,
1709948760000,2024-03-09T01:46:00Z,288-1-1-114,28.01,
1709948820000,2024-03-09T01:47:00Z,288-1-1-114,27.21,
1709948880000,2024-03-09T01:48:00Z,288-1-1-114,25.27,
1709948940000,2024-03-09T01:49:00Z,288-1-1-114,22.77,
1709949000000,2024-03-09T01:50:00Z,288-1-1-114,14.0,
1709949060000,2024-03-09T01:51:00Z,288-1-1-114,17.51,
1709949120000,2024-03-09T01:52:00Z,288-1-1-114,12.88,
1709949180000,2024-03-09T01:53:00Z,288-1-1-114,11.9,
1709949240000,2024-03-09T01:54:00Z,288-1-1-114,11.36,
1709949300000,2024-03-09T01:55:00Z,288-1-1-114,11.92,
1709949360000,2024-03-09T01:56:00Z,288-1-1-114,11.59,
1709949420000,2024-03-09T01:57:00Z,288-1-1-114,12.19,
1709949480000,2024-03-09T01:58:00Z,288-1-1-114,11.18,
1709949540000,2024-03-09T01:59:00Z,288-1-1-114,11.68,
