timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1709942400000,2024-03-09T00:00:00Z,288-1-1-114,149,608,169,648,
1709942460000,2024-03-09T00:01:00Z,288-1-1-114,52,403,233,468,
1709942520000,2024-03-09T00:02:00Z,288-1-1-114,1909,2707,1849,3793,
1709942580000,2024-03-09T00:03:00Z,288-1-1-114,597,509,183,805,
1709942640000,2024-03-09T00:04:00Z,288-1-1-114,800,939,237,1256,
1709942700000,2024-03-09T00:05:00Z,288-1-1-114,504,1068,663,1354,
1709942760000,2024-03-09T00:06:00Z,288-1-1-114,1349,1867,1035,2525,
1709942820000,2024-03-09T00:07:00Z,288-1-1-114,446,545,184,727,
1709942880000,2024-03-09T00:08:00Z,288-1-1-114,825,723,280,1132,
1709942940000,2024-03-09T00:09:00Z,288-1-1-114,500,484,16,696,
1709943000000,2024-03-09T00:10:00Z,288-1-1-114,436,553,190,729,
1709943060000,2024-03-09T00:11:00Z,288-1-1-114,331,449,38,559,
1709943120000,2024-03-09T00:12:00Z,288-1-1-114,1138,1870,1217,2504,
1709943180000,2024-03-09T00:13:00Z,288-1-1-114,1274,2380,2691,3811,
1709943240000,2024-03-09T00:14:00Z,288-1-1-114,1030,975,52,1419,
1709943300000,2024-03-09T00:15:00Z,288-1-1-114,1472,1554,624,2229,
1709943360000,2024-03-09T00:16:00Z,288-1-1-114,423,338,31,542,
1709943420000,2024-03-09T00:17:00Z,288-1-1-114,1927,1984,1516,3154,
1709943480000,2024-03-09T00:18:00Z,288-1-1-114,18,146,126,193,
1709943540000,2024-03-09T00:19:00Z,288-1-1-114,2051,1383,2639,3617,
1709943600000,2024-03-09T00:20:00Z,288-1-1-114,1899,2577,2037,3794,
1709943660000,2024-03-09T00:21:00Z,288-1-1-114,520,1096,927,1526,
1709943720000,2024-03-09T00:22:00Z,288-1-1-114,1376,3147,1788,3872,
1709943780000,2024-03-09T00:23:00Z,288-1-1-114,1754,3230,2428,4405,
1709943840000,2024-03-09T00:24:00Z,288-1-1-114,2177,2361,1907,3735,
1709943900000,2024-03-09T00:25:00Z,288-1-1-114,1829,2141,2179,3560,
1709943960000,2024-03-09T00:26:00Z,288-1-1-114,859,474,544,1121,
1709944020000,2024-03-09T00:27:00Z,288-1-1-114,243,222,504,601,
1709944080000,2024-03-09T00:28:00Z,288-1-1-114,437,411,1161,1306,
1709944140000,2024-03-09T00:29:00Z,288-1-1-114,1187,1499,1371,2352,
1709944200000,2024-03-09T00:30:00Z,288-1-1-114,146,192,89,257,
1709944260000,2024-03-09T00:31:00Z,288-1-1-114,3667,2885,3835,6039,
1709944320000,2024-03-09T00:32:00Z,288-1-1-114,3628,3064,2722,5473,
1709944380000,2024-03-09T00:33:00Z,288-1-1-114,2037,1845,2402,3650,
1709944440000,2024-03-09T00:34:00Z,288-1-1-114,5044,4134,2493,6981,
1709944500000,2024-03-09T00:35:00Z,288-1-1-114,1113,874,889,1671,
1709944560000,2024-03-09T00:36:00Z,288-1-1-114,50,250,0,254,
1709944620000,2024-03-09T00:37:00Z,288-1-1-114,769,682,321,1076,
1709944680000,2024-03-09T00:38:00Z,288-1-1-114,200,268,511,610,
1709944740000,2024-03-09T00:39:00Z,288-1-1-114,1375,1397,1237,2317,
1709944800000,2024-03-09T00:40:00Z,288-1-1-114,56,277,137,314,
1709944860000,2024-03-09T00:41:00Z,288-1-1-114,648,404,516,921,
1709944920000,2024-03-09T00:42:00Z,288-1-1-114,1148,1051,802,1750,
1709944980000,2024-03-09T00:43:00Z,288-1-1-114,1890,1390,968,2537,
1709945040000,2024-03-09T00:44:00Z,288-1-1-114,1896,2048,2540,3773,
1709945100000,2024-03-09T00:45:00Z,288-1-1-114,1024,821,952,1621,
1709945160000,2024-03-09T00:46:00Z,288-1-1-114,73,85,189,219,
1709945220000,2024-03-09T00:47:00Z,288-1-1-114,351,548,757,998,
1709945280000,2024-03-09T00:48:00Z,288-1-1-114,1298,1275,1264,2215,
1709945340000,2024-03-09T00:49:00Z,288-1-1-114,2063,2118,1535,3331,
1709945400000,2024-03-09T00:50:00Z,288-1-1-114,474,626,656,1023,
1709945460000,2024-03-09T00:51:00Z,288-1-1-114,336,257,943,1033,
1709945520000,2024-03-09T00:52:00Z,288-1-1-114,1110,2396,2935,3948,
1709945580000,2024-03-09T00:53:00Z,288-1-1-114,251,366,294,532,
1709945640000,2024-03-09T00:54:00Z,288-1-1-114,0,0,0,0,
1709945700000,2024-03-09T00:55:00Z,288-1-1-114,308,942,843,1301,
1709945760000,2024-03-09T00:56:00Z,288-1-1-114,1208,2160,1768,3041,
1709945820000,2024-03-09T00:57:00Z,288-1-1-114,3413,3227,2910,5525,
1709945880000,2024-03-09T00:58:00Z,288-1-1-114,4680,3267,2996,6446,
1709945940000,2024-03-09T00:59:00Z,288-1-1-114,5000,3506,3539,7058,
1709946000000,2024-03-09T01:00:00Z,288-1-1-114,6692,4409,3424,8714,
1709946060000,2024-03-09T01:01:00Z,288-1-1-114,2476,2832,3088,4866,
1709946120000,2024-03-09T01:02:00Z,288-1-1-114,2487,1757,2435,3898,
1709946180000,2024-03-09T01:03:00Z,288-1-1-114,3644,2767,2491,5209,
1709946240000,2024-03-09T01:04:00Z,288-1-1-114,1657,1260,1205,2405,
1709946300000,2024-03-09T01:05:00Z,288-1-1-114,4421,3306,2805,6192,
1709946360000,2024-03-09T01:06:00Z,288-1-1-114,4083,2856,2580,5611,
1709946420000,2024-03-09T01:07:00Z,288-1-1-114,3720,2354,2859,5249,
1709946480000,2024-03-09T01:08:00Z,288-1-1-114,4447,3592,3451,6677,
1709946540000,2024-03-09T01:09:00Z,288-1-1-114,2784,2409,2904,4689,
1709946600000,2024-03-09T01:10:00Z,288-1-1-114,5569,5581,4891,9278,
1709946660000,2024-03-09T01:11:00Z,288-1-1-114,3174,3078,2624,5141,
1709946720000,2024-03-09T01:12:00Z,288-1-1-114,4041,3603,2898,6140,
1709946780000,2024-03-09T01:13:00Z,288-1-1-114,3808,3093,2833,5665,
1709946840000,2024-03-09T01:14:00Z,288-1-1-114,3095,2849,2698,4997,
1709946900000,2024-03-09T01:15:00Z,288-1-1-114,2276,2800,2760,4542,
1709946960000,2024-03-09T01:16:00Z,288-1-1-114,2269,3113,2866,4801,
1709947020000,2024-03-09T01:17:00Z,288-1-1-114,975,833,1204,1759,
1709947080000,2024-03-09T01:18:00Z,288-1-1-114,316,321,344,566,
1709947140000,2024-03-09T01:19:00Z,288-1-1-114,1859,1850,1143,2860,
1709947200000,2024-03-09T01:20:00Z,288-1-1-114,3048,2552,2572,4734,
1709947260000,2024-03-09T01:21:00Z,288-1-1-114,3031,3735,3670,6050,
1709947320000,2024-03-09T01:22:00Z,288-1-1-114,1901,2179,2098,3572,
