timestamp_unix,timestamp_iso,participant_full_id,wearing_detection_percentage,missing_value_reason
1709769600000,2024-03-07T00:00:00Z,288-1-1-114,100,
1709769660000,2024-03-07T00:01:00Z,288-1-1-114,100,
1709769720000,2024-03-07T00:02:00Z,288-1-1-114,100,
1709769780000,2024-03-07T00:03:00Z,288-1-1-114,100,
1709769840000,2024-03-07T00:04:00Z,288-1-1-114,100,
1709769900000,2024-03-07T00:05:00Z,288-1-1-114,100,
1709769960000,2024-03-07T00:06:00Z,288-1-1-114,100,
1709770020000,2024-03-07T00:07:00Z,288-1-1-114,100,
1709770080000,2024-03-07T00:08:00Z,288-1-1-114,100,
1709770140000,2024-03-07T00:09:00Z,288-1-1-114,100,
1709770200000,2024-03-07T00:10:00Z,288-1-1-114,100,
1709770260000,2024-03-07T00:11:00Z,288-1-1-114,100,
1709770320000,2024-03-07T00:12:00Z,288-1-1-114,100,
1709770380000,2024-03-07T00:13:00Z,288-1-1-114,100,
1709770440000,2024-03-07T00:14:00Z,288-1-1-114,100,
1709770500000,2024-03-07T00:15:00Z,288-1-1-114,100,
1709770560000,2024-03-07T00:16:00Z,288-1-1-114,100,
1709770620000,2024-03-07T00:17:00Z,288-1-1-114,100,
1709770680000,2024-03-07T00:18:00Z,288-1-1-114,100,
1709770740000,2024-03-07T00:19:00Z,288-1-1-114,100,
1709770800000,2024-03-07T00:20:00Z,288-1-1-114,100,
1709770860000,2024-03-07T00:21:00Z,288-1-1-114,100,
1709770920000,2024-03-07T00:22:00Z,288-1-1-114,100,
1709770980000,2024-03-07T00:23:00Z,288-1-1-114,100,
1709771040000,2024-03-07T00:24:00Z,288-1-1-114,100,
1709771100000,2024-03-07T00:25:00Z,288-1-1-114,100,
1709771160000,2024-03-07T00:26:00Z,288-1-1-114,100,
1709771220000,2024-03-07T00:27:00Z,288-1-1-114,100,
1709771280000,2024-03-07T00:28:00Z,288-1-1-114,100,
1709771340000,2024-03-07T00:29:00Z,288-1-1-114,100,
1709771400000,2024-03-07T00:30:00Z,288-1-1-114,100,
1709771460000,2024-03-07T00:31:00Z,288-1-1-114,100,
1709771520000,2024-03-07T00:32:00Z,288-1-1-114,100,
1709771580000,2024-03-07T00:33:00Z,288-1-1-114,100,
1709771640000,2024-03-07T00:34:00Z,288-1-1-114,100,
1709771700000,2024-03-07T00:35:00Z,288-1-1-114,100,
1709771760000,2024-03-07T00:36:00Z,288-1-1-114,100,
1709771820000,2024-03-07T00:37:00Z,288-1-1-114,100,
1709771880000,2024-03-07T00:38:00Z,288-1-1-114,100,
1709771940000,2024-03-07T00:39:00Z,288-1-1-114,100,
1709772000000,2024-03-07T00:40:00Z,288-1-1-114,100,
1709772060000,2024-03-07T00:41:00Z,288-1-1-114,100,
1709772120000,2024-03-07T00:42:00Z,288-1-1-114,100,
1709772180000,2024-03-07T00:43:00Z,288-1-1-114,100,
1709772240000,2024-03-07T00:44:00Z,288-1-1-114,100,
1709772300000,2024-03-07T00:45:00Z,288-1-1-114,100,
1709772360000,2024-03-07T00:46:00Z,288-1-1-114,55,
1709772420000,2024-03-07T00:47:00Z,288-1-1-114,0,
1709772480000,2024-03-07T00:48:00Z,288-1-1-114,0,
1709772540000,2024-03-07T00:49:00Z,288-1-1-114,0,
1709772600000,2024-03-07T00:50:00Z,288-1-1-114,0,
1709772660000,2024-03-07T00:51:00Z,288-1-1-114,0,
1709772720000,2024-03-07T00:52:00Z,288-1-1-114,0,
1709772780000,2024-03-07T00:53:00Z,288-1-1-114,54,
1709772840000,2024-03-07T00:54:00Z,288-1-1-114,100,
1709772900000,2024-03-07T00:55:00Z,288-1-1-114,100,
1709772960000,2024-03-07T00:56:00Z,288-1-1-114,100,
1709773020000,2024-03-07T00:57:00Z,288-1-1-114,100,
1709773080000,2024-03-07T00:58:00Z,288-1-1-114,100,
1709773140000,2024-03-07T00:59:00Z,288-1-1-114,100,
1709773200000,2024-03-07T01:00:00Z,288-1-1-114,100,
1709773260000,2024-03-07T01:01:00Z,288-1-1-114,100,
1709773320000,2024-03-07T01:02:00Z,288-1-1-114,100,
1709773380000,2024-03-07T01:03:00Z,288-1-1-114,100,
1709773440000,2024-03-07T01:04:00Z,288-1-1-114,100,
1709773500000,2024-03-07T01:05:00Z,288-1-1-114,100,
1709773560000,2024-03-07T01:06:00Z,288-1-1-114,100,
1709773620000,2024-03-07T01:07:00Z,288-1-1-114,100,
1709773680000,2024-03-07T01:08:00Z,288-1-1-114,100,
1709773740000,2024-03-07T01:09:00Z,288-1-1-114,100,
1709773800000,2024-03-07T01:10:00Z,288-1-1-114,100,
1709773860000,2024-03-07T01:11:00Z,288-1-1-114,100,
1709773920000,2024-03-07T01:12:00Z,288-1-1-114,100,
1709773980000,2024-03-07T01:13:00Z,288-1-1-114,100,
1709774040000,2024-03-07T01:14:00Z,288-1-1-114,100,
1709774100000,2024-03-07T01:15:00Z,288-1-1-114,100,
1709774160000,2024-03-07T01:16:00Z,288-1-1-114,100,
1709774220000,2024-03-07T01:17:00Z,288-1-1-114,100,
1709774280000,2024-03-07T01:18:00Z,288-1-1-114,100,
1709774340000,2024-03-07T01:19:00Z,288-1-1-114,100,
1709774400000,2024-03-07T01:20:00Z,288-1-1-114,100,
1709774460000,2024-03-07T01:21:00Z,288-1-1-114,100,
1709774520000,2024-03-07T01:22:00Z,288-1-1-114,100,
1709774580000,2024-03-07T01:23:00Z,288-1-1-114,100,
1709774640000,2024-03-07T01:24:00Z,288-1-1-114,100,
1709774700000,2024-03-07T01:25:00Z,288-1-1-114,100,
1709774760000,2024-03-07T01:26:00Z,288-1-1-114,100,
1709774820000,2024-03-07T01:27:00Z,288-1-1-114,100,
1709774880000,2024-03-07T01:28:00Z,288-1-1-114,100,
1709774940000,2024-03-07T01:29:00Z,288-1-1-114,100,
1709775000000,2024-03-07T01:30:00Z,288-1-1-114,100,
1709775060000,2024-03-07T01:31:00Z,288-1-1-114,100,
1709775120000,2024-03-07T01:32:00Z,288-1-1-114,100,
1709775180000,2024-03-07T01:33:00Z,288-1-1-114,100,
1709775240000,2024-03-07T01:34:00Z,288-1-1-114,100,
1709775300000,2024-03-07T01:35:00Z,288-1-1-114,100,
1709775360000,2024-03-07T01:36:00Z,288-1-1-114,100,
1709775420000,2024-03-07T01:37:00Z,288-1-1-114,100,
1709775480000,2024-03-07T01:38:00Z,288-1-1-114,100,
1709775540000,2024-03-07T01:39:00Z,288-1-1-114,100,
1709775600000,2024-03-07T01:40:00Z,288-1-1-114,100,
1709775660000,2024-03-07T01:41:00Z,288-1-1-114,100,
1709775720000,2024-03-07T01:42:00Z,288-1-1-114,100,
1709775780000,2024-03-07T01:43:00Z,288-1-1-114,100,
1709775840000,2024-03-07T01:44:00Z,288-1-1-114,100,
1709775900000,2024-03-07T01:45:00Z,288-1-1-114,100,
1709775960000,2024-03-07T01:46:00Z,288-1-1-114,100,
1709776020000,2024-03-07T01:47:00Z,288-1-1-114,100,
1709776080000,2024-03-07T01:48:00Z,288-1-1-114,100,
1709776140000,2024-03-07T01:49:00Z,288-1-1-114,100,
1709776200000,2024-03-07T01:50:00Z,288-1-1-114,100,
1709776260000,2024-03-07T01:51:00Z,288-1-1-114,100,
1709776320000,2024-03-07T01:52:00Z,288-1-1-114,100,
1709776380000,2024-03-07T01:53:00Z,288-1-1-114,100,
1709776440000,2024-03-07T01:54:00Z,288-1-1-114,100,
1709776500000,2024-03-07T01:55:00Z,288-1-1-114,100,
1709776560000,2024-03-07T01:56:00Z,288-1-1-114,100,
1709776620000,2024-03-07T01:57:00Z,288-1-1-114,100,
1709776680000,2024-03-07T01:58:00Z,288-1-1-114,100,
1709776740000,2024-03-07T01:59:00Z,288-1-1-114,100,
1709776800000,2024-03-07T02:00:00Z,288-1-1-114,100,
1709776860000,2024-03-07T02:01:00Z,288-1-1-114,100,
1709776920000,2024-03-07T02:02:00Z,288-1-1-114,100,
1709776980000,2024-03-07T02:03:00Z,288-1-1-114,100,
1709777040000,2024-03-07T02:04:00Z,288-1-1-114,100,
1709777100000,2024-03-07T02:05:00Z,288-1-1-114,100,
1709777160000,2024-03-07T02:06:00Z,288-1-1-114,100,
1709777220000,2024-03-07T02:07:00Z,288-1-1-114,100,
1709777280000,2024-03-07T02:08:00Z,288-1-1-114,100,
1709777340000,2024-03-07T02:09:00Z,288-1-1-114,100,
