timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1712632860000,2024-04-09T03:21:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712632920000,2024-04-09T03:22:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712632980000,2024-04-09T03:23:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633040000,2024-04-09T03:24:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633100000,2024-04-09T03:25:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633160000,2024-04-09T03:26:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633220000,2024-04-09T03:27:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633280000,2024-04-09T03:28:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633340000,2024-04-09T03:29:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633400000,2024-04-09T03:30:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633460000,2024-04-09T03:31:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633520000,2024-04-09T03:32:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633580000,2024-04-09T03:33:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633640000,2024-04-09T03:34:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633700000,2024-04-09T03:35:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633760000,2024-04-09T03:36:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633820000,2024-04-09T03:37:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633880000,2024-04-09T03:38:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712633940000,2024-04-09T03:39:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634000000,2024-04-09T03:40:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634060000,2024-04-09T03:41:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634120000,2024-04-09T03:42:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634180000,2024-04-09T03:43:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634240000,2024-04-09T03:44:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634300000,2024-04-09T03:45:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634360000,2024-04-09T03:46:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634420000,2024-04-09T03:47:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634480000,2024-04-09T03:48:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634540000,2024-04-09T03:49:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634600000,2024-04-09T03:50:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634660000,2024-04-09T03:51:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634720000,2024-04-09T03:52:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634780000,2024-04-09T03:53:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634840000,2024-04-09T03:54:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634900000,2024-04-09T03:55:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712634960000,2024-04-09T03:56:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635020000,2024-04-09T03:57:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635080000,2024-04-09T03:58:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635140000,2024-04-09T03:59:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635200000,2024-04-09T04:00:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635260000,2024-04-09T04:01:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635320000,2024-04-09T04:02:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635380000,2024-04-09T04:03:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635440000,2024-04-09T04:04:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635500000,2024-04-09T04:05:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635560000,2024-04-09T04:06:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635620000,2024-04-09T04:07:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635680000,2024-04-09T04:08:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635740000,2024-04-09T04:09:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635800000,2024-04-09T04:10:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635860000,2024-04-09T04:11:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635920000,2024-04-09T04:12:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712635980000,2024-04-09T04:13:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636040000,2024-04-09T04:14:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636100000,2024-04-09T04:15:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636160000,2024-04-09T04:16:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636220000,2024-04-09T04:17:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636280000,2024-04-09T04:18:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636340000,2024-04-09T04:19:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712636400000,2024-04-09T04:20:00Z,288-1-1-116,standing,standing,
1712636460000,2024-04-09T04:21:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636520000,2024-04-09T04:22:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636580000,2024-04-09T04:23:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636640000,2024-04-09T04:24:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636700000,2024-04-09T04:25:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636760000,2024-04-09T04:26:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636820000,2024-04-09T04:27:00Z,288-1-1-116,,,device_not_recording
1712636880000,2024-04-09T04:28:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712636940000,2024-04-09T04:29:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637000000,2024-04-09T04:30:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637060000,2024-04-09T04:31:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637120000,2024-04-09T04:32:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637180000,2024-04-09T04:33:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637240000,2024-04-09T04:34:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637300000,2024-04-09T04:35:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637360000,2024-04-09T04:36:00Z,288-1-1-116,standing,standing,
1712637420000,2024-04-09T04:37:00Z,288-1-1-116,standing,standing,
1712637480000,2024-04-09T04:38:00Z,288-1-1-116,standing,standing,
1712637540000,2024-04-09T04:39:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637600000,2024-04-09T04:40:00Z,288-1-1-116,,,device_not_recording
1712637660000,2024-04-09T04:41:00Z,288-1-1-116,standing,standing,
1712637720000,2024-04-09T04:42:00Z,288-1-1-116,standing,standing,
1712637780000,2024-04-09T04:43:00Z,288-1-1-116,,,device_not_recording
1712637840000,2024-04-09T04:44:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637900000,2024-04-09T04:45:00Z,288-1-1-116,sitting_reclining_lying,sitting_reclining_lying,
1712637960000,2024-04-09T04:46:00Z,288-1-1-116,,,device_not_recording
1712638020000,2024-04-09T04:47:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638080000,2024-04-09T04:48:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638140000,2024-04-09T04:49:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638200000,2024-04-09T04:50:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638260000,2024-04-09T04:51:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638320000,2024-04-09T04:52:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638380000,2024-04-09T04:53:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638440000,2024-04-09T04:54:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638500000,2024-04-09T04:55:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638560000,2024-04-09T04:56:00Z,288-1-1-116,sitting_reclining_lying,standing,
1712638620000,2024-04-09T04:57:00Z,288-1-1-116,sitting_reclining_lying,standing,
