timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1710288000000,2024-03-13T00:00:00Z,288-1-1-114,2095,2020,1566,3304,
1710288060000,2024-03-13T00:01:00Z,288-1-1-114,1934,1096,1499,2681,
1710288120000,2024-03-13T00:02:00Z,288-1-1-114,3451,4171,3357,6369,
1710288180000,2024-03-13T00:03:00Z,288-1-1-114,5563,3934,3378,7604,
1710288240000,2024-03-13T00:04:00Z,288-1-1-114,4964,5264,4339,8436,
1710288300000,2024-03-13T00:05:00Z,288-1-1-114,4615,4943,4509,8127,
1710288360000,2024-03-13T00:06:00Z,288-1-1-114,3959,3759,3888,6702,
1710288420000,2024-03-13T00:07:00Z,288-1-1-114,6427,6160,4666,10051,
1710288480000,2024-03-13T00:08:00Z,288-1-1-114,4596,4892,4220,7928,
1710288540000,2024-03-13T00:09:00Z,288-1-1-114,3877,3566,4101,6675,
1710288600000,2024-03-13T00:10:00Z,288-1-1-114,4627,4704,4894,8215,
1710288660000,2024-03-13T00:11:00Z,288-1-1-114,5591,5037,5264,9183,
1710288720000,2024-03-13T00:12:00Z,288-1-1-114,4845,5165,4144,8205,
1710288780000,2024-03-13T00:13:00Z,288-1-1-114,6658,5965,4461,9990,
1710288840000,2024-03-13T00:14:00Z,288-1-1-114,6670,5742,5604,10433,
1710288900000,2024-03-13T00:15:00Z,288-1-1-114,5162,4888,4581,8457,
1710288960000,2024-03-13T00:16:00Z,288-1-1-114,4533,4113,4712,7724,
1710289020000,2024-03-13T00:17:00Z,288-1-1-114,6818,5952,4949,10315,
1710289080000,2024-03-13T00:18:00Z,288-1-1-114,5771,5719,4616,9344,
1710289140000,2024-03-13T00:19:00Z,288-1-1-114,5503,4950,4395,8608,
1710289200000,2024-03-13T00:20:00Z,288-1-1-114,5855,5821,4993,9648,
1710289260000,2024-03-13T00:21:00Z,288-1-1-114,6092,5027,5019,9358,
1710289320000,2024-03-13T00:22:00Z,288-1-1-114,6041,5613,5471,9896,
1710289380000,2024-03-13T00:23:00Z,288-1-1-114,5501,5103,5481,9292,
1710289440000,2024-03-13T00:24:00Z,288-1-1-114,6193,6084,5937,10517,
1710289500000,2024-03-13T00:25:00Z,288-1-1-114,8269,6930,6573,12633,
1710289560000,2024-03-13T00:26:00Z,288-1-1-114,6758,6602,5464,10913,
1710289620000,2024-03-13T00:27:00Z,288-1-1-114,7710,7610,5868,12320,
1710289680000,2024-03-13T00:28:00Z,288-1-1-114,5658,4889,4370,8660,
1710289740000,2024-03-13T00:29:00Z,288-1-1-114,7714,7719,5839,12376,
1710289800000,2024-03-13T00:30:00Z,288-1-1-114,6619,4729,4226,9166,
1710289860000,2024-03-13T00:31:00Z,288-1-1-114,6076,5184,5129,9492,
1710289920000,2024-03-13T00:32:00Z,288-1-1-114,10780,9872,6577,16028,
1710289980000,2024-03-13T00:33:00Z,288-1-1-114,5887,4354,2757,7824,
1710290040000,2024-03-13T00:34:00Z,288-1-1-114,8805,6980,5483,12502,
1710290100000,2024-03-13T00:35:00Z,288-1-1-114,5715,5337,5013,9288,
1710290160000,2024-03-13T00:36:00Z,288-1-1-114,8243,7622,5771,12623,
