timestamp_unix,timestamp_iso,participant_full_id,prv_rmssd_ms,missing_value_reason
1710288000000,2024-03-13T00:00:00Z,288-1-1-114,,worn_during_motion
1710288060000,2024-03-13T00:01:00Z,288-1-1-114,,worn_during_motion
1710288120000,2024-03-13T00:02:00Z,288-1-1-114,,worn_during_motion
1710288180000,2024-03-13T00:03:00Z,288-1-1-114,,worn_during_motion
1710288240000,2024-03-13T00:04:00Z,288-1-1-114,,worn_during_motion
1710288300000,2024-03-13T00:05:00Z,288-1-1-114,,worn_during_motion
1710288360000,2024-03-13T00:06:00Z,288-1-1-114,,worn_during_motion
1710288420000,2024-03-13T00:07:00Z,288-1-1-114,,worn_during_motion
1710288480000,2024-03-13T00:08:00Z,288-1-1-114,,worn_during_motion
1710288540000,2024-03-13T00:09:00Z,288-1-1-114,,worn_during_motion
1710288600000,2024-03-13T00:10:00Z,288-1-1-114,,worn_during_motion
1710288660000,2024-03-13T00:11:00Z,288-1-1-114,,worn_during_motion
1710288720000,2024-03-13T00:12:00Z,288-1-1-114,,worn_during_motion
1710288780000,2024-03-13T00:13:00Z,288-1-1-114,,worn_during_motion
1710288840000,2024-03-13T00:14:00Z,288-1-1-114,,worn_during_motion
1710288900000,2024-03-13T00:15:00Z,288-1-1-114,,worn_during_motion
1710288960000,2024-03-13T00:16:00Z,288-1-1-114,,worn_during_motion
1710289020000,2024-03-13T00:17:00Z,288-1-1-114,,worn_during_motion
1710289080000,2024-03-13T00:18:00Z,288-1-1-114,,worn_during_motion
1710289140000,2024-03-13T00:19:00Z,288-1-1-114,,worn_during_motion
1710289200000,2024-03-13T00:20:00Z,288-1-1-114,,worn_during_motion
1710289260000,2024-03-13T00:21:00Z,288-1-1-114,,worn_during_motion
1710289320000,2024-03-13T00:22:00Z,288-1-1-114,,worn_during_motion
1710289380000,2024-03-13T00:23:00Z,288-1-1-114,,worn_during_motion
1710289440000,2024-03-13T00:24:00Z,288-1-1-114,,worn_during_motion
1710289500000,2024-03-13T00:25:00Z,288-1-1-114,,worn_during_motion
1710289560000,2024-03-13T00:26:00Z,288-1-1-114,,worn_during_motion
1710289620000,2024-03-13T00:27:00Z,288-1-1-114,,worn_during_motion
1710289680000,2024-03-13T00:28:00Z,288-1-1-114,,worn_during_motion
1710289740000,2024-03-13T00:29:00Z,288-1-1-114,,worn_during_motion
1710289800000,2024-03-13T00:30:00Z,288-1-1-114,,worn_during_motion
1710289860000,2024-03-13T00:31:00Z,288-1-1-114,,worn_during_motion
1710289920000,2024-03-13T00:32:00Z,288-1-1-114,,worn_during_motion
1710289980000,2024-03-13T00:33:00Z,288-1-1-114,,worn_during_motion
1710290040000,2024-03-13T00:34:00Z,288-1-1-114,,worn_during_motion
1710290100000,2024-03-13T00:35:00Z,288-1-1-114,,worn_during_motion
1710290160000,2024-03-13T00:36:00Z,288-1-1-114,,worn_during_motion
1710290220000,2024-03-13T00:37:00Z,288-1-1-114,,worn_during_motion
1710290280000,2024-03-13T00:38:00Z,288-1-1-114,,worn_during_motion
1710290340000,2024-03-13T00:39:00Z,288-1-1-114,,worn_during_motion
1710290400000,2024-03-13T00:40:00Z,288-1-1-114,,worn_during_motion
1710290460000,2024-03-13T00:41:00Z,288-1-1-114,,worn_during_motion
1710290520000,2024-03-13T00:42:00Z,288-1-1-114,,worn_during_motion
1710290580000,2024-03-13T00:43:00Z,288-1-1-114,,worn_during_motion
1710290640000,2024-03-13T00:44:00Z,288-1-1-114,,worn_during_motion
1710290700000,2024-03-13T00:45:00Z,288-1-1-114,,worn_during_motion
1710290760000,2024-03-13T00:46:00Z,288-1-1-114,,worn_during_motion
1710290820000,2024-03-13T00:47:00Z,288-1-1-114,,worn_during_motion
1710290880000,2024-03-13T00:48:00Z,288-1-1-114,,worn_during_motion
1710290940000,2024-03-13T00:49:00Z,288-1-1-114,,worn_during_motion
1710291000000,2024-03-13T00:50:00Z,288-1-1-114,,worn_during_motion
1710291060000,2024-03-13T00:51:00Z,288-1-1-114,,worn_during_motion
1710291120000,2024-03-13T00:52:00Z,288-1-1-114,,worn_during_motion
1710291180000,2024-03-13T00:53:00Z,288-1-1-114,,worn_during_motion
1710291240000,2024-03-13T00:54:00Z,288-1-1-114,,worn_during_motion
1710291300000,2024-03-13T00:55:00Z,288-1-1-114,,worn_during_motion
1710291360000,2024-03-13T00:56:00Z,288-1-1-114,,worn_during_motion
1710291420000,2024-03-13T00:57:00Z,288-1-1-114,,worn_during_motion
1710291480000,2024-03-13T00:58:00Z,288-1-1-114,,worn_during_motion
1710291540000,2024-03-13T00:59:00Z,288-1-1-114,,worn_during_motion
1710291600000,2024-03-13T01:00:00Z,288-1-1-114,,worn_during_motion
1710291660000,2024-03-13T01:01:00Z,288-1-1-114,,worn_during_motion
1710291720000,2024-03-13T01:02:00Z,288-1-1-114,,worn_during_motion
1710291780000,2024-03-13T01:03:00Z,288-1-1-114,,worn_during_motion
1710291840000,2024-03-13T01:04:00Z,288-1-1-114,,worn_during_motion
1710291900000,2024-03-13T01:05:00Z,288-1-1-114,,worn_during_motion
1710291960000,2024-03-13T01:06:00Z,288-1-1-114,,worn_during_motion
1710292020000,2024-03-13T01:07:00Z,288-1-1-114,,worn_during_motion
1710292080000,2024-03-13T01:08:00Z,288-1-1-114,,worn_during_motion
1710292140000,2024-03-13T01:09:00Z,288-1-1-114,,worn_during_motion
1710292200000,2024-03-13T01:10:00Z,288-1-1-114,,worn_during_motion
1710292260000,2024-03-13T01:11:00Z,288-1-1-114,,worn_during_motion
1710292320000,2024-03-13T01:12:00Z,288-1-1-114,,worn_during_motion
1710292380000,2024-03-13T01:13:00Z,288-1-1-114,,worn_during_motion
1710292440000,2024-03-13T01:14:00Z,288-1-1-114,,worn_during_motion
1710292500000,2024-03-13T01:15:00Z,288-1-1-114,,worn_during_motion
1710292560000,2024-03-13T01:16:00Z,288-1-1-114,,worn_during_motion
1710292620000,2024-03-13T01:17:00Z,288-1-1-114,,worn_during_motion
1710292680000,2024-03-13T01:18:00Z,288-1-1-114,,worn_during_motion
1710292740000,2024-03-13T01:19:00Z,288-1-1-114,,worn_during_motion
1710292800000,2024-03-13T01:20:00Z,288-1-1-114,,worn_during_motion
1710292860000,2024-03-13T01:21:00Z,288-1-1-114,,worn_during_motion
1710292920000,2024-03-13T01:22:00Z,288-1-1-114,,worn_during_motion
1710292980000,2024-03-13T01:23:00Z,288-1-1-114,,worn_during_motion
1710293040000,2024-03-13T01:24:00Z,288-1-1-114,,worn_during_motion
1710293100000,2024-03-13T01:25:00Z,288-1-1-114,,worn_during_motion
1710293160000,2024-03-13T01:26:00Z,288-1-1-114,,worn_during_motion
1710293220000,2024-03-13T01:27:00Z,288-1-1-114,,worn_during_motion
1710293280000,2024-03-13T01:28:00Z,288-1-1-114,,worn_during_motion
1710293340000,2024-03-13T01:29:00Z,288-1-1-114,,worn_during_motion
1710293400000,2024-03-13T01:30:00Z,288-1-1-114,,worn_during_motion
1710293460000,2024-03-13T01:31:00Z,288-1-1-114,,worn_during_motion
1710293520000,2024-03-13T01:32:00Z,288-1-1-114,,worn_during_motion
1710293580000,2024-03-13T01:33:00Z,288-1-1-114,,worn_during_motion
1710293640000,2024-03-13T01:34:00Z,288-1-1-114,,worn_during_motion
1710293700000,2024-03-13T01:35:00Z,288-1-1-114,,worn_during_motion
1710293760000,2024-03-13T01:36:00Z,288-1-1-114,,worn_during_motion
1710293820000,2024-03-13T01:37:00Z,288-1-1-114,,worn_during_motion
