timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1714089600000,2024-04-26T00:00:00Z,288-1-1-117,1014,1436,1933,2612,
1714089660000,2024-04-26T00:01:00Z,288-1-1-117,5295,4373,3269,7605,
1714089720000,2024-04-26T00:02:00Z,288-1-1-117,3539,4569,4124,7099,
1714089780000,2024-04-26T00:03:00Z,288-1-1-117,2315,3710,4909,6574,
1714089840000,2024-04-26T00:04:00Z,288-1-1-117,2844,3486,3602,5763,
1714089900000,2024-04-26T00:05:00Z,288-1-1-117,2923,3806,3741,6084,
1714089960000,2024-04-26T00:06:00Z,288-1-1-117,2693,2675,3543,5192,
1714090020000,2024-04-26T00:07:00Z,288-1-1-117,3220,2809,1730,4609,
1714090080000,2024-04-26T00:08:00Z,288-1-1-117,3046,2574,2475,4693,
1714090140000,2024-04-26T00:09:00Z,288-1-1-117,3481,2684,4533,6314,
1714090200000,2024-04-26T00:10:00Z,288-1-1-117,1651,930,1652,2513,
1714090260000,2024-04-26T00:11:00Z,288-1-1-117,5192,4933,7412,10306,
1714090320000,2024-04-26T00:12:00Z,288-1-1-117,2424,1812,1998,3626,
1714090380000,2024-04-26T00:13:00Z,288-1-1-117,417,314,581,781,
1714090440000,2024-04-26T00:14:00Z,288-1-1-117,550,193,570,815,
1714090500000,2024-04-26T00:15:00Z,288-1-1-117,525,73,200,566,
1714090560000,2024-04-26T00:16:00Z,288-1-1-117,824,1048,1098,1727,
1714090620000,2024-04-26T00:17:00Z,288-1-1-117,3880,3110,3173,5898,
1714090680000,2024-04-26T00:18:00Z,288-1-1-117,1696,990,1640,2558,
1714090740000,2024-04-26T00:19:00Z,288-1-1-117,0,6,5,7,
1714090800000,2024-04-26T00:20:00Z,288-1-1-117,0,12,17,20,
1714090860000,2024-04-26T00:21:00Z,288-1-1-117,142,254,429,518,
1714090920000,2024-04-26T00:22:00Z,288-1-1-117,7,69,254,263,
1714090980000,2024-04-26T00:23:00Z,288-1-1-117,1411,2170,1442,2962,
1714091040000,2024-04-26T00:24:00Z,288-1-1-117,534,1069,809,1443,
1714091100000,2024-04-26T00:25:00Z,288-1-1-117,1556,2126,1780,3179,
1714091160000,2024-04-26T00:26:00Z,288-1-1-117,1407,1202,1112,2158,
1714091220000,2024-04-26T00:27:00Z,288-1-1-117,1781,1991,2275,3508,
1714091280000,2024-04-26T00:28:00Z,288-1-1-117,3012,3900,3592,6097,
1714091340000,2024-04-26T00:29:00Z,288-1-1-117,910,817,802,1462,
1714091400000,2024-04-26T00:30:00Z,288-1-1-117,815,772,1284,1705,
1714091460000,2024-04-26T00:31:00Z,288-1-1-117,2044,1993,1600,3272,
1714091520000,2024-04-26T00:32:00Z,288-1-1-117,327,78,130,360,
1714091580000,2024-04-26T00:33:00Z,288-1-1-117,3587,2090,1780,4516,
1714091640000,2024-04-26T00:34:00Z,288-1-1-117,1448,1025,2436,3013,
1714091700000,2024-04-26T00:35:00Z,288-1-1-117,484,422,720,964,
1714091760000,2024-04-26T00:36:00Z,288-1-1-117,2277,1335,1760,3172,
1714091820000,2024-04-26T00:37:00Z,288-1-1-117,3118,2001,3133,4851,
1714091880000,2024-04-26T00:38:00Z,288-1-1-117,2844,2231,5445,6535,
1714091940000,2024-04-26T00:39:00Z,288-1-1-117,1631,1353,2212,3063,
1714092000000,2024-04-26T00:40:00Z,288-1-1-117,732,458,990,1313,
1714092060000,2024-04-26T00:41:00Z,288-1-1-117,10,0,49,50,
1714092120000,2024-04-26T00:42:00Z,288-1-1-117,834,700,492,1194,
1714092180000,2024-04-26T00:43:00Z,288-1-1-117,1749,1507,1934,3011,
1714092240000,2024-04-26T00:44:00Z,288-1-1-117,2111,1272,1743,3018,
1714092300000,2024-04-26T00:45:00Z,288-1-1-117,3489,1948,3760,5486,
1714092360000,2024-04-26T00:46:00Z,288-1-1-117,2017,1184,2657,3539,
1714092420000,2024-04-26T00:47:00Z,288-1-1-117,36,0,0,36,
1714092480000,2024-04-26T00:48:00Z,288-1-1-117,119,48,68,145,
1714092540000,2024-04-26T00:49:00Z,288-1-1-117,0,5,106,106,
1714092600000,2024-04-26T00:50:00Z,288-1-1-117,0,0,0,0,
1714092660000,2024-04-26T00:51:00Z,288-1-1-117,754,225,391,878,
1714092720000,2024-04-26T00:52:00Z,288-1-1-117,123,209,189,307,
1714092780000,2024-04-26T00:53:00Z,288-1-1-117,0,0,0,0,
1714092840000,2024-04-26T00:54:00Z,288-1-1-117,116,11,2,116,
1714092900000,2024-04-26T00:55:00Z,288-1-1-117,4902,3323,3339,6798,
1714092960000,2024-04-26T00:56:00Z,288-1-1-117,888,1146,1589,2150,
1714093020000,2024-04-26T00:57:00Z,288-1-1-117,3956,2370,4029,6123,
1714093080000,2024-04-26T00:58:00Z,288-1-1-117,924,649,778,1371,
1714093140000,2024-04-26T00:59:00Z,288-1-1-117,1340,408,712,1571,
1714093200000,2024-04-26T01:00:00Z,288-1-1-117,989,318,685,1244,
1714093260000,2024-04-26T01:01:00Z,288-1-1-117,137,26,0,139,
1714093320000,2024-04-26T01:02:00Z,288-1-1-117,267,32,18,269,
1714093380000,2024-04-26T01:03:00Z,288-1-1-117,66,55,4,86,
1714093440000,2024-04-26T01:04:00Z,288-1-1-117,0,0,0,0,
1714093500000,2024-04-26T01:05:00Z,288-1-1-117,0,0,2,2,
